ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,4643286,WEATHERSTRIP ASSEMBLY,,,,,,,discontinued,,,
2,4642894,STRIKER ASSEMBLY,,,,,,,available,26.21,20.59,/parts/mopar-striker-door-latch~4642894.html
4,4642897,"REINFORCEMENT ASSEMBLY, Striker",,,,,,,available,11.6,9.12,/parts/mopar-reinfmnt-decklid-striker~4642897.html
6,4642974,LATCH ASSEMBLY,,,,,,,discontinued,,,/parts/mopar-latch-decklid~4642974.html
6,5245886,LATCH ASSEMBLY,,,,,,,discontinued,,,/parts/mopar-latch-cable-and-switch~5245886.html
7,6100567,SCREW and WASHER,,,,2,1,,available,9.3,6.47,/parts/mopar-screw-hex-head~6100567.html
9,6032723,"SCREW, .164-15x.750",,,,2,1,,available,9.15,6.35,/parts/mopar-screw-self-tapping~6032723.html
10,4643273,PLATE,,,,,,,discontinued,,,/parts/mopar-reinfmnt-decklid-cylinder~4643273.html
11,4665288,"FOOTMAN LOOP, Tie Down Anchor",,,,,,,discontinued,,,/parts/mopar-anchor-tie-down~4665288.html
12,6034646,RIVET,,,,2,1,,discontinued,,,/parts/mopar-retainer~6034646.html
