ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,4642970,"PANEL ASSEMBLY, Sport Cap",,,,,,,discontinued,,,
1,4709123,"PANEL ASSEMBLY, Sport Cap",,,,,,,discontinued,,,
1,4709396,"PANEL ASSEMBLY, Sport Cap",,1993-94,,,,,discontinued,,,
1,4709426,"PANEL ASSEMBLY, Sport Cap",,1995-96,,,,,discontinued,,,/parts/mopar-panel-sport-cap-primed~4709426.html
1,4763899,"PANEL ASSEMBLY, Sport Cap",,,,,,,discontinued,,,/parts/mopar-sport-cap-primed-bux-panel~4763899.html
2,6034756,"RIVET, 1992",,,,,,,discontinued,,,/parts/mopar-rivet-blind~6034756.html
3,6034578,RIVET,,,,,,,discontinued,,,/parts/mopar-retainer~6034578.html
4,6502337,NUT and WASHER,,,,4,1,,available,8.75,6,/parts/mopar-nut-hex-locking~6502337.html
5,6101085,"SCREW and WASHER, M10x1.50x40.00",,,,2,1,,discontinued,,,/parts/mopar-screw~6101085.html
6,4643556,SHIM,,,,6,,,discontinued,,,
7,JL70MX9,"PAD ASSEMBLY, Sport Cap",,,,,,,discontinued,,,/parts/mopar-pad-sport-cap~jl70mx9.html
7,EK16LX7,"PAD ASSEMBLY, Sport Cap",,,,,,,discontinued,,,
8,GY07LX9,"MOULDING, Sport Cap Close Out Panel, 1992-93",,,,,,,discontinued,,,
11,6501941,"NUT and WASHER, M6x1.00",,,,5,,,discontinued,,,
12,4708043,SHIM,,,,,,,discontinued,,,/parts/mopar-shim-sport-cap~4708043.html
12,4708044,SHIM,,,,,,,available,7.13,5.61,/parts/mopar-shim-sport-cap~4708044.html
13,4643680,"CATCHER, Sportbar Interlock",,,,,,,discontinued,,,
13,4643681,"CATCHER, Sportbar Interlock",,,,,,,discontinued,,,
13,4763658,"CATCHER, Sportbar Interlock",,,,,,,discontinued,,,/parts/mopar-catch-sportbar-interlock-rt~4763658.html
13,4763659,"CATCHER, Sportbar Interlock",,,,,,,discontinued,,,/parts/mopar-catch-sportbar-interlock-rt~4763659.html
14,4643557,SHIM,,,,,,,discontinued,,,/parts/mopar-shim-sport-bar-interlock-catch~4643557.html
15,34201596,BOLT,,,,7,1,,discontinued,,,/parts/mopar-bolt-pan-head~34201596.html
16,4708216,"GROMMET, Sports Cap Pad",,,,2,1,,discontinued,,,/parts/mopar-grommet-sport-cap-pad~4708216.html
17,55254651,DEADENER PAD,,,,,,,discontinued,,,
18,6034790,STUD,,1992-93,,2,,,discontinued,,,
18,6035227,STUD,,,,2,1,,discontinued,,,/parts/mopar-stud~6035227.html
,4708339,"LABEL, Warning Bar, (Canada - French)",,,,,,,discontinued,,,
,6503139,"SCREW, (Attach Sport Cap Cover)",,,,,,,discontinued,,,/parts/mopar-screw-tress-head~6503139.html
,4848371,"SEAL, Sport Cap Base",,,,2,1,,available,19,14.93,/parts/mopar-seal-sport-cap-base~4848371.html
