ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,4643225,"WIRING, Uni-Body",,,,,,,discontinued,,,
1,4643276,"WIRING, Uni-Body",,,,,,,available,8.95,7.03,/parts/mopar-wiring-tl-st-tn-b-up-domestic~4643276.html
1,4643343,"WIRING, Uni-Body",,,,,,,discontinued,,,/parts/mopar-wiring-as-tail-stop-lamp~4643343.html
1,4643349,"WIRING, Uni-Body",,,,,,,discontinued,,,/parts/mopar-wiring-high-mounted-stop-lamp~4643349.html
1,4643376,"WIRING, Uni-Body",,,,,,,discontinued,,,/parts/mopar-back-up-turn-signal-lamp~4643376.html
1,4643377,"WIRING, Uni-Body",,,,,,,discontinued,,,/parts/mopar-lamp-back-up-and-turn-signal~4643377.html
1,4643977,"WIRING, Uni-Body",,,,,,,available,2.1,1.65,/parts/mopar-wiring-frt-foglamp-jumper~4643977.html
1,4643999,"WIRING, Uni-Body",,,,,,,available,2.02,1.59,/parts/mopar-wiring-frt-rr-fog-lamp-jumper~4643999.html
1,4708262,"WIRING, Uni-Body",,,,,,,discontinued,,,/parts/mopar-wiring-unibody-wrg-assy~4708262.html
1,4709022,"WIRING, Uni-Body",,,,,,,discontinued,,,
1,4709023,"WIRING, Uni-Body",,,,,,,discontinued,,,
1,4709133,"WIRING, Uni-Body",,1993-95,,,,,discontinued,,,/parts/mopar-wiring-unibody-asm~4709133.html
1,4709134,"WIRING, Uni-Body",,,,,,,discontinued,,,/parts/mopar-wiring-bux-t-s-flasher-jum~4709134.html
1,4709138,"WIRING, Uni-Body",,,,,,,discontinued,,,/parts/mopar-side-marker-jumper-wiring~4709138.html
1,4763075,"WIRING, Uni-Body",,,29,,,,discontinued,,,
1,4763076,"WIRING, Uni-Body",,,29,,,,discontinued,,,
1,4763077,"WIRING, Uni-Body",,,29,,,,discontinued,,,/parts/mopar-wiring-unified-body~4763077.html
1,4763970,"WIRING, Uni-Body",,,,,,,discontinued,,,
,4708364,"WIRING, A/C & Heater Sub-Assy.",,,,,,,discontinued,,,/parts/mopar-wiring-heater-and-a-c~4708364.html
,4709137,"WIRING, Back-Up Lamp Switch",,,,,,,available,5.28,4.15,/parts/mopar-wiring-b-u-lamp-sw-jum~4709137.html
,4687627,"WIRING, Daytime Running Lamp Jumper",,,,,,,discontinued,,,
,4709139,"WIRING, Mirror Jumper",,,,,,,discontinued,,,/parts/mopar-wiring-mirror-jumper-asm~4709139.html
,4708403,"WIRING, Seat Belt Jumper",,,,,,,discontinued,,,/parts/mopar-seatbelt-jumper~4708403.html
