ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,4709020,"WIRING, Instrument Panel",,,,,,,discontinued,,,
1,4709135,"WIRING, Instrument Panel",,1993-94,,,,,discontinued,,,
1,4709495,"WIRING, Instrument Panel",,,,,,,discontinued,,,/parts/mopar-wiring-as-assy-instrument-panel~4709495.html
1,4763993,"WIRING, Instrument Panel",,,,,,,discontinued,,,/parts/mopar-wiring-i-p~4763993.html
4,2298882,"INSULATOR, Windshield Washer Motor",,,,,,,discontinued,,,
6,4304634,"INSULATOR, Lt. Wiper Mtr. (Term. 4209340)",,,,,,,discontinued,,,
8,4304634,"INSULATOR, Rt. Wiper Mtr. (Term. 4209340)",,,,,,,discontinued,,,
13,4481640,"INSULATOR, Bulkhead Connector (Term. 26-4209706 & 12-4331506)",,,,,,,discontinued,,,
14,4209927,"INSULATOR, Thermostat Switch (Term. 4209706)",,,,,,,discontinued,,,
15,4504253,"INSULATOR, To Mirror Wiring (Term. 4209706)",,,,,,,discontinued,,,
18,4439086,"INSULATOR, Headlamp Relay (Term. 4331010)",,,,,,,discontinued,,,
19,4439086,"INSULATOR, Fog Lamp (Term. 4331010)",,,,,,,discontinued,,,
20,4274017,"INSULATOR, Chime Module (Term. 56017580)",,,,,,,discontinued,,,
22,4209499,"TERMINAL, Radio, Lighting, Wiper & Chime Ground",,,,,,,discontinued,,,
28,4400932,FUSEBLOCK ASSEMBLY,,,,,,,discontinued,,,
28,4848076,FUSEBLOCK ASSEMBLY,,,29,,,,available,12,9.43,/parts/mopar-block-fuse~4848076.html
28A,6101132,FUSE,,,,,,,discontinued,,,
28A,6101133,FUSE,,,,,,,discontinued,,,
28A,6101135,FUSE,,,,,,,discontinued,,,
28A,6101137,FUSE,,,,,,,discontinued,,,
28A,6101139,FUSE,,,,,,,discontinued,,,
28A,6101485,FUSE,,,,,,,discontinued,,,
28B,4643775,"COVER, Fuse Block",,,,,,,discontinued,,,/parts/mopar-cover-fuse-block~4643775.html
32,4209712,"INSULATOR, To Radio (Term. 4209706)",,,,,,,discontinued,,,
46,4527299,"INSULATOR, Headlamp Switch (Term. 4331010)",,,,,,,discontinued,,,/parts/mopar-insulator-9-way-female-h-lp-sw~4527299.html
47,4274937,"INSULATOR, Seat Belt Switch (Term. 4209707)",,,,,,,discontinued,,,
50,4368099,"RELAY BANK, (Term. 4331506)",,,,,,,discontinued,,,
52,4209927,"INSULATOR, Clutch Interlock Switch (Term. 4209706)",,,,,,,discontinued,,,
53,4209712,"INSULATOR, Brake Switch (Term. 4209706)",,,,,,,discontinued,,,
,2932877,"FLASHER, Turn Signal",,,,,,,discontinued,,,/parts/mopar-flasher~2932877.html
,3837161,"FLASHER, Turn Signal",,,,,,,discontinued,,,
,4274258,"TAPE, Foam",,,,,,,available,6.2,4.19,/parts/mopar-insul-pkg-foam~4274258.html
