ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
3,4642646,"BRACKET, Isolator",,1992-95,,2,,,discontinued,,,
3,4796376,"BRACKET, Isolator",,,,,,,discontinued,,,/parts/mopar-insulator-engine-mount~4796376.html
4,4643546,"HEAT SHIELD, Engine Mount",,,,2,1,,available,52.75,36.76,/parts/mopar-shield-heat~4643546.html
5,4642617,"INSULATOR ASSEMBLY, Engine Front",Left,,,,,,discontinued,,,/parts/mopar-insulator-engine-mount~4642617.html
5,4643530,"INSULATOR ASSEMBLY, Engine Front",Right,,,,,,available,261.39,205.41,/parts/mopar-insulator-engine-mount~4643530.html
6,6025022,"NUT, w/Washer, Engine Isolator to Frame, (.500-13)",,,,4,1,,discontinued,,,/parts/mopar-nut-hex-nut-coned-washer~6025022.html
7,6100945,"BOLT, Trans. Crossmember to Frame",,,,2,1,,discontinued,,,/parts/mopar-bolt-hex-head~6100945.html
7,6101707,"BOLT, Trans. Crossmember to Frame",,,,2,1,,discontinued,,,/parts/mopar-bolt~6101707.html
8,6502696,"NUT, Trans. Crossmember to Frame",,,,2,1,,available,7.2,4.89,/parts/mopar-nut-hex-flange-lock~6502696.html
8,6502337,"NUT, Trans. Crossmember to Frame",,,,2,1,,available,8.75,6,/parts/mopar-nut-hex-locking~6502337.html
9,4643318,"INSULATOR, Transmission Mount",,,,,,4643318AC,discontinued,,,/parts/mopar-insulator-transmission~4643318.html
10,6501596,"BOLT, w/Washer, (M10-1.50x45.00)",,,,2,1,,available,8.65,5.94,/parts/mopar-screw-hex-head~6501596.html
11,4643319,"CROSSMEMBER, Transmission Mounting",,1992-95,,,,,discontinued,,,
11,4763813,"CROSSMEMBER, Transmission Mounting",,,,,,,available,34.01,26.72,/parts/mopar-c-member-transmission~4763813.html
12,6502696,"NUT, Mount to Trans. Crossmember",,,,,,,available,7.2,4.89,/parts/mopar-nut-hex-flange-lock~6502696.html
12,6502337,"NUT, Mount to Trans. Crossmember",,,,,,,available,8.75,6,/parts/mopar-nut-hex-locking~6502337.html
13,55254651,"DEADENER, Trans. Crossmember to Frame, 1992-95",,,,2,,,discontinued,,,
