ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,5245359,"PLATE, Camshaft Sprocket Thrust",,,,,,,discontinued,,,/parts/mopar-gear-camshaft-thrust~5245359.html
2,220800,"SCREW, (5/16-18x.75)",,,,2,1,,discontinued,,,/parts/mopar-bolt~220800.html
3,4626438,"CHAIN PACKAGE, Timing",,1992-95,,,,,discontinued,,,/parts/mopar-chain-package-timing~4626438.html
3,4863827,"CHAIN PACKAGE, Timing",,,,,,,discontinued,,,/parts/mopar-sprkt-pkg-timing~4863827.html
4,6034749,"KEY, Crankshaft",,,,,,,available,6.8,4.6,/parts/mopar-key-woodruff~6034749.html
5,6024035,"SCREW, w/Washer, (7/16-14x1.75)",,,,,,,discontinued,,,/parts/mopar-screw-hex-head~6024035.html
6,6034497,"SCREW, w/Washer",,,,2,1,,discontinued,,,/parts/mopar-bolt-hex-head~6034497.html
6,6034517,"SCREW, w/Washer",,,,4,1,,discontinued,,,/parts/mopar-sc-wa-hex-hdr-pt~6034517.html
6,6035558,"SCREW, w/Washer",,,,4,1,,available,6.25,4.91,/parts/mopar-screw-hex-flange-head~6035558.html
7,4763745,"GASKET, Chain Case Cover",,,29,,,,discontinued,,,
7,5245133,"GASKET, Chain Case Cover",,,27,,,,discontinued,,,/parts/mopar-gasket-chain-case-cover~5245133.html
8,04886502AA,"COVER, Chain Case",,,29,,,,discontinued,,,
8,5245131,"COVER, Chain Case",,,27,,,,discontinued,,,
9,5245135,"SEAL, Crankshaft Front Oil",,,,,,,available,65.2,45.38,/parts/mopar-seal-crankshaft-oil~5245135.html
