ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,52005389,CLAMP/NUT,,,,,,,available,54.35,37.98,/parts/mopar-nut-fuel-pump-module~52005389.html
1,5217825,CLAMP/NUT,,,,,,,discontinued,,,
2,52018808,"SEAL, Fuel Module",,,,,,,discontinued,,,/parts/mopar-seal-fuel-pump-and-level-unit~52018808.html
2,5217826,"SEAL, Fuel Module",,1992-95,,,,,discontinued,,,
3,4746404,"MODULE, Fuel",,1992-95,,,,,discontinued,,,/parts/mopar-module-fuel~4746404.html
3,4856873,"MODULE, Fuel",,,27,,,,discontinued,,,
3,4882240,"MODULE, Fuel",,,29,,,,discontinued,,,
4,4723104,"LEVEL PACKAGE, Fuel",,1992-95,,,,,discontinued,,,
4,4864234,"LEVEL PACKAGE, Fuel",,,27,,,,discontinued,,,
4,4882241,"LEVEL PACKAGE, Fuel",,,29,,,,discontinued,,,
5,4864847,"FILTER PACKAGE, Module",,,27,,,,discontinued,,,/parts/mopar-filtr-pkg-fuel~4864847.html
5,4882324,"FILTER PACKAGE, Module",,,29,,,,discontinued,,,
6,4720832,"INSULATOR, Electrical Connector",,,,,,,discontinued,,,/parts/mopar-insul-pkg-fuel-module~4720832.html
7,5217802,GROMMET,,,,,,,available,12.1,8.27,/parts/mopar-grommet-rollover-valve~5217802.html
8,4495069,"VALVE, Rollover",,1992-95,,,,,discontinued,,,/parts/mopar-valve-f-tank-press-relief-r-ove~4495069.html
8,4763826,"VALVE, Rollover",,,,,,,discontinued,,,/parts/mopar-valve-fuel-tank-rollover-safety~4763826.html
9,4002149,"GROMMET, Rollover Valve",,,,,,,discontinued,,,
10,4746407,"REGULATOR, Fuel Returnless",,,,,,,discontinued,,,
11,4763002,"TUBE, Fuel Tank Vent",,,29,,,,discontinued,,,
11,4763008,"TUBE, Fuel Tank Vent",,,27,,,,discontinued,,,/parts/mopar-tube-fuel-filler-vent~4763008.html
12,4638134,NUT & GASKET PACKAGE,,,,,,,discontinued,,,
