ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,F877JX9,"COVER, Seat Belt Turning Loop",,,,2,1,,discontinued,,,/parts/mopar-cover-turning-loop~f877jx9.html
2,6034459,"BOLT, Shoulder Belt Upper",,,,2,1,,discontinued,,,/parts/mopar-bolt-pan-head~6034459.html
3,6034389,"SEAT BELT, Lap and Shoulder Door Mounting",,,29,2,1,,discontinued,,,/parts/mopar-bolt-pan-head-shoulder~6034389.html
3,GV17LX9,"SEAT BELT, Lap and Shoulder Door Mounting",,,,,,,discontinued,,,/parts/mopar-seat-belt-front-outer~gv17lx9.html
3,GV22LX9,"SEAT BELT, Lap and Shoulder Door Mounting",,,,,,,discontinued,,,/parts/mopar-seat-belt-front-outer~gv22lx9.html
3,HC68MX9,"SEAT BELT, Lap and Shoulder Door Mounting",,,,,,,discontinued,,,/parts/mopar-seat-belt-front-outer~hc68mx9.html
3,HC77MX9,"SEAT BELT, Lap and Shoulder Door Mounting",,,,,,,discontinued,,,/parts/mopar-belt-frt-st-lap-shldr-lt~hc77mx9.html
3,HV60LX9,"SEAT BELT, Lap and Shoulder Door Mounting",,,,,,,available,107,92.34,/parts/mopar-belt-frt-st-lap-shldr-rt~hv60lx9.html
3,HV61LX9,"SEAT BELT, Lap and Shoulder Door Mounting",,,,,,,discontinued,,,/parts/mopar-belt-frt-st-lap-shldr-rt~hv61lx9.html
3,MB86SX9,"SEAT BELT, Lap and Shoulder Door Mounting",,,29,2,,,discontinued,,,
3,PD74RX9,"SEAT BELT, Lap and Shoulder Door Mounting",,,,,,,discontinued,,,/parts/mopar-seat-belt-front~pd74rx9.html
5,6033688,RIVET,,,,4,1,,available,8.05,5.59,/parts/mopar-rivet~6033688.html
8,6101340,U-NUT,,,,3,1,,available,11.8,8.1,/parts/mopar-nut~6101340.html
9,6100557,SCREW and WASHER,,,,6,1,,available,9.2,6.41,/parts/mopar-screw-hex-head~6100557.html
10,4642178,"REINFORCEMENT, Rectractor Mounting, Right",,,,,,,available,22.67,17.82,/parts/mopar-reinf-front-door-retractor-mounti~4642178.html
10,4642179,"REINFORCEMENT, Rectractor Mounting, Right",,,,,,,discontinued,,,
,JR14LX9,"BEZEL, Seat Shoulder Belt (w/Slit - Replaces Produsction Bezel Which Will Be Cut Off Belt Assy) 1992-93, Right",,,,,,,discontinued,,,/parts/mopar-frt-seat-shldr-belt-rt-bez~jr14lx9.html
,JR15LX9,"BEZEL, Seat Shoulder Belt (w/Slit - Replaces Produsction Bezel Which Will Be Cut Off Belt Assy) 1992-93, Right",,,,,,,discontinued,,,
,4708494,"SPACER, Seat Belt Retainer to Frame 1992-93",,,,4,1,,available,1.78,1.4,/parts/mopar-shim-seat-belt-retainer~4708494.html
,4741764,"SPACER, Used When Door Panel Assy Is Installed To Replace Tearing Stanchion Closeout Cover - 1992",,,,,,,discontinued,,,
