ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,status,msrp,sale_price,detail_url
1,4709078,"PANEL, Door",,,,,,,available,61.2,42.5,/parts/mopar-seal-door-mucket-rt~4709078.html
1,GM76MKA,"PANEL, Door",,,,,,,discontinued,,,
1,GM76MXD,"PANEL, Door",,,,,,,discontinued,,,
1,GM77MKA,"PANEL, Door",,,,,,,discontinued,,,
1,GM77MXD,"PANEL, Door",,,,,,,discontinued,,,
1,HT98LXD,"PANEL, Door",,,,,,,discontinued,,,
1,HT98MKA,"PANEL, Door",,,,,,,discontinued,,,
1,HT99LXD,"PANEL, Door",,,,,,,discontinued,,,
1,HT99MKA,"PANEL, Door",,,,,,,discontinued,,,
1,HY60MKA,"PANEL, Door",,,,,,,discontinued,,,
1,HY60MXD,"PANEL, Door",,,,,,,discontinued,,,
1,HY61MKA,"PANEL, Door",,,,,,,available,117.51,92.34,/parts/mopar-panel-door-trim~hy61mka.html
1,HY61MXD,"PANEL, Door",,,,,,,discontinued,,,/parts/mopar-panel-door-trim~hy61mxd.html
1,HY61SX7,"PANEL, Door",,,27,,,,discontinued,,,
1,JW32MKA,"PANEL, Door",,,,,,,discontinued,,,
1,JW32MXD,"PANEL, Door",,,,,,,discontinued,,,
1,JW33MKA,"PANEL, Door",,,,,,,discontinued,,,/parts/mopar-panel-door-interior-trim-lh~jw33mka.html
1,JW33MXD,"PANEL, Door",,,,,,,discontinued,,,/parts/mopar-panel-door-interior-trim-lh~jw33mxd.html
1,JW33SX7,"PANEL, Door",,,27,,,,discontinued,,,
1,LC42PKA,"PANEL, Door",,,,,,,discontinued,,,
1,LC42PXD,"PANEL, Door",,,,,,,discontinued,,,
1,LC42SX7,"PANEL, Door",,,27,,,,discontinued,,,
1,LC44PKA,"PANEL, Door",,,,,,,discontinued,,,/parts/mopar-panel-door-trim-rt~lc44pka.html
1,LC44PXD,"PANEL, Door",,,,,,,discontinued,,,/parts/mopar-door-trim-rt-panel-asm~lc44pxd.html
1,LC44SX7,"PANEL, Door",,,27,,,,discontinued,,,
1,QE56TX9,"PANEL, Door",,,29,,,,discontinued,,,/parts/mopar-panel-door-trim-lt~qe56tx9.html
1,QE57TX9,"PANEL, Door",,,29,,,,discontinued,,,
2,HU74MX9,"BEZEL, Shoulder Belt",,,,,,,discontinued,,,/parts/mopar-plug-seatbelt-bezel~hu74mx9.html
2,HU75MX9,"BEZEL, Shoulder Belt",,,,,,,available,,,/parts/mopar-plug-seatbelt-bezel~hu75mx9.html
2,JR14LX9,"BEZEL, Shoulder Belt",,,,,,,discontinued,,,/parts/mopar-frt-seat-shldr-belt-rt-bez~jr14lx9.html
2,JR15LX9,"BEZEL, Shoulder Belt",,,,,,,discontinued,,,
4,EJ02LX9,PULL CUP,,,,2,1,,discontinued,,,/parts/mopar-cup-dr-trim-panel~ej02lx9.html
5,34201398,"SCREW and WASHER, Door Panel Attaching (4.2-1.41x25mm)",,,,6,1,,discontinued,,,/parts/mopar-screw-oval-truss-head~34201398.html
6,4643901,"LINER, Front Door Inside Panel",,,,,,,discontinued,,,
6,4708388,"LINER, Front Door Inside Panel",,,,,,,available,8.75,6.88,/parts/mopar-liner-frt-dr-i-side-pnl~4708388.html
7,6035120,"GROMMET, Door Trim Panel, (Side Windows Attach)",,,,,,,discontinued,,,/parts/mopar-clip-stanch-cvr-to-stanch-attach~6035120.html
7,4643924,"GROMMET, Door Trim Panel, (Side Windows Attach)",,,,2,1,,discontinued,,,/parts/mopar-grommet-door-trim-panel~4643924.html
8,EK02LD5,"BEZEL, Remote Release",,,,,,,discontinued,,,
8,EK02PX9,"BEZEL, Remote Release",,,,,,,discontinued,,,/parts/mopar-bezel-remote-control~ek02px9.html
8,EK03LD5,"BEZEL, Remote Release",,,,,,,discontinued,,,/parts/mopar-bezel-remote-release-lt~ek03ld5.html
8,EK03PX9,"BEZEL, Remote Release",,,,,,,discontinued,,,/parts/mopar-bezel-remote-control~ek03px9.html
9,0154605,"SCREW, .190-16.750",,,,4,,,discontinued,,,
10,6032723,"SCREW, .164-15x.750",,,,6,1,,available,9.15,6.35,/parts/mopar-screw-self-tapping~6032723.html
11,6035217,"SCREW, .164-18x.500",,,,4,1,,discontinued,,,/parts/mopar-screw-round-head~6035217.html
12,LC46PD5,"GRAB HANDLE, Right Side",,,,,,,available,3.25,2.55,/parts/mopar-grab-handle-asm~lc46pd5.html
12,LC46PKA,"GRAB HANDLE, Right Side",,,,,,,available,3.5,2.75,/parts/mopar-grab-handle-asm~lc46pka.html
12,LC46SX9,"GRAB HANDLE, Right Side",,,,,,,discontinued,,,/parts/mopar-handle-grab~lc46sx9.html
13,FJ58LD5,"BEZEL, Door Trim",,,,,,,discontinued,,,
13,FJ58MX9,"BEZEL, Door Trim",,,,,,,discontinued,,,
13,FJ58SX4,"BEZEL, Door Trim",,,27,,,,discontinued,,,/parts/mopar-bezel-adjustable-turning-loop~fj58sx4.html
13,FJ59LD5,"BEZEL, Door Trim",,,,,,,discontinued,,,/parts/mopar-bezel-adjustable-turning-loop~fj59ld5.html
13,FJ59MX9,"BEZEL, Door Trim",,,,,,,discontinued,,,
13,FJ59SX4,"BEZEL, Door Trim",,,27,,,,discontinued,,,/parts/mopar-bezel-adjustable-turning-loop~fj59sx4.html
13,QE34MX4,"BEZEL, Door Trim",,,29,,,,discontinued,,,
13,QE35MX4,"BEZEL, Door Trim",,,29,,,,discontinued,,,
14,4864362,"CLIP, Door Trim Panel",,,,,,,discontinued,,,
15,4874844,"BRACKET, Kit, Door Trim Panel Mounting",,,,,,,discontinued,,,/parts/mopar-bracket-door-trim-panel-mtg~4874844.html
,6502676,"NUT, Plastic Push On",,,,,,,discontinued,,,/parts/mopar-nut-hex~6502676.html
,9428247,"SCREW, Stanchion Cover Attaching",,,,4,,,discontinued,,,
,4741764,"SPACER, (Used When New Door Trim Panel Is Installed To Replace Tearing Stanchion Closeout Cover) -1992",,,,,,,discontinued,,,
