ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4642968,"SHELL, Door",,,,,,,"Right, 1992",discontinued,,,
1,4642969,"SHELL, Door",,,,,,,"Left, 1992",discontinued,,,
1,4708394,"SHELL, Door",,,,,,,"Right, 1994",discontinued,,,/parts/mopar-door-assy-assy-rt-front-as-shipped~4708394.html
1,4708395,"SHELL, Door",,,,,,,"Left, 1994",discontinued,,,
1,4763922AB,"SHELL, Door",Right,,29,,,,,discontinued,,,/parts/mopar-door-front~4763922ab.html
1,4763923AB,"SHELL, Door",Left,,29,,,,,discontinued,,,/parts/mopar-door-front~4763923ab.html
1,4848544,"SHELL, Door",,,,,,,"Right, 1995-96",discontinued,,,/parts/mopar-door-front-comp-primed-rt~4848544.html
1,4848545,"SHELL, Door",,,,,,,"Left, 1995-96",discontinued,,,/parts/mopar-door-front-comp-primed-lt~4848545.html
3,4848693,"COVER, Outer Stanchion",,,29,6,1,,"BRACKET, Stanchion Cover Mtg. (1995-96 After 3-1-95 Canada, Europe)",available,5,3.93,/parts/mopar-otr-stanchion-cvr-mtg-brkt~4848693.html
3,5245795,"COVER, Outer Stanchion",,,,2,1,,"NUT, Handle Att. (HANDLE, Exterior)",discontinued,,,/parts/mopar-nut~5245795.html
3,HY62MX7,"COVER, Outer Stanchion",,,,,,,"Left (1992-94 Canada, Europe)Right (1992-94 Canada, Europe)",discontinued,,,
3,HY62PX8,"COVER, Outer Stanchion",,,,,,,"Right (1995 Up to 3-1-95 Canada, Europe)",discontinued,,,
3,HY63PX8,"COVER, Outer Stanchion",,,,,,,"Left (1995 Up to 3-1-95 Canada, Europe)",discontinued,,,
3,ME68JX8,"COVER, Outer Stanchion",,,29,,,,"Right (COVER, Inner Stanchion)",discontinued,,,
3,ME69JX8,"COVER, Outer Stanchion",,,29,,,,"Left (COVER, Inner Stanchion)",discontinued,,,
3,MS80RX8,"COVER, Outer Stanchion",Right,,,,,,,discontinued,,,/parts/mopar-molding-scuff~ms80rx8.html
3,MS81RX8,"COVER, Outer Stanchion",Left,,,,,,,discontinued,,,
3,MS82RX8,"COVER, Outer Stanchion",,,,,,,"Canada, Europe, RightRight (1995-96 After 3-1-95 Canada, Europe)",discontinued,,,/parts/mopar-molding-stanchion-cover~ms82rx8.html
3,MS83RX8,"COVER, Outer Stanchion",,,,,,,"Canada, Europe, LeftLeft (1995-96 After 3-1-95 Canada, Europe)",discontinued,,,
3,PS20SX8,"COVER, Outer Stanchion",,,29,,,,"Right (HANDLE, Exterior)",discontinued,,,/parts/mopar-handle-front-door~ps20sx8.html
3,PS21SX8,"COVER, Outer Stanchion",,,29,,,,"Left (HANDLE, Exterior)",discontinued,,,/parts/mopar-handle-front-door~ps21sx8.html
4,HY64MX8,"MOULDING, Stanchion Closeout",,,,,,,"Right (1992-95 Up to 11-7-94 Canada, Europe)",discontinued,,,
4,HY65MX8,"MOULDING, Stanchion Closeout",,,,,,,"Left (1992-95 Up to 11-7-94 Canada, Europe)",discontinued,,,
4,MS46RX8,"MOULDING, Stanchion Closeout",,,,,,,"Right (1995 From 11-7-94 to 3-1-95 Canada, Europe)",discontinued,,,
4,MS47RX8,"MOULDING, Stanchion Closeout",,,,,,,"Left (1995 From 11-7-94 to 3-1-95 Canada, Europe)",discontinued,,,
4,MS72RX8,"MOULDING, Stanchion Closeout",Right,,,,,,,discontinued,,,/parts/mopar-molding-scuff~ms72rx8.html
4,MS73RX8,"MOULDING, Stanchion Closeout",Left,,,,,,,discontinued,,,
4,MS74RX8,"MOULDING, Stanchion Closeout",,,,,,,"Canada, Europe, RightRight (1995-96 After 3-1-95 Canada, Europe)",discontinued,,,
4,MS75RX8,"MOULDING, Stanchion Closeout",,,,,,,"Canada, Europe, LeftLeft (1995-96 After 3-1-95 Canada, Europe)",discontinued,,,
5,6035120,"CLIP, Cover",,,,4,1,,,discontinued,,,/parts/mopar-clip-stanch-cvr-to-stanch-attach~6035120.html
6,4643763,"STRIKER, Restraint Interlock",,,,2,1,,13.8/14.0,discontinued,,,/parts/mopar-striker-restraint-system-upper-inte~4643763.html
6,4708213,"STRIKER, Restraint Interlock",,,,2,1,,10.55/10.75,available,2.12,1.66,/parts/mopar-striker-restraint-sys-upper-interlo~4708213.html
7,6028674,"SCREW, Cover",,1992,,4,,,,discontinued,,,
7,6101973,"SCREW, Cover",,,,6,1,,"SCREW, Black (1993 (DNS))",discontinued,,,/parts/mopar-screw-pan-head~6101973.html
7,9428247,"SCREW, Cover",,,,4,,,"1994-96 (1993 (DNS))SCREW, Cover",discontinued,,,
8,4642882,"HINGE, Door",,1992,,2,,,,discontinued,,,
8,4709353,"HINGE, Door",,1993-95,,2,1,,,discontinued,,,/parts/mopar-hinge-assy-front-door~4709353.html
8,5245109,"HINGE, Door",,,,2,1,,"1996HINGE, Door",unavailable,,,/parts/mopar-hinge-front-door~5245109.html
9,6501734,"SCREW, Hinge",,1992,,,,,,discontinued,,,
9,6503351,"SCREW, Hinge",,,,,,,"1993-96SCREW, Hinge",discontinued,,,/parts/mopar-screw-hex-head~6503351.html
10,6502549,"SCREW, Hinge",,,,,,,,available,7.8,5.13,/parts/mopar-screw-pan-head~6502549.html
11,4642956,"COVER, Hinge, Right",,,,,,,,discontinued,,,/parts/mopar-panel-hinge~4642956.html
11,4642957,"COVER, Hinge, Right",,,,,,,"COVER, Hinge, Left",available,211.53,166.23,/parts/mopar-panel-hinge~4642957.html
12,35022111,"SHIM, Hinge Cover",,,,,,,,discontinued,,,/parts/mopar-shim-fender~35022111.html
14,4709078,"SEAL, Door Mucket, Right",,,,,,,,available,61.2,42.5,/parts/mopar-seal-door-mucket-rt~4709078.html
14,4709079,"SEAL, Door Mucket, Right",,,,,,,"SEAL, Door Mucket, Left",discontinued,,,/parts/mopar-seal-door-mucket-rt~4709079.html
15,4643810,"BRACKET, Inside, Right",,,,,,,,available,5.15,4.05,/parts/mopar-front-door-i-side-bracket~4643810.html
15,4643811,"BRACKET, Inside, Right",,,,,,,"BRACKET, Inside, Left",available,3.63,2.86,/parts/mopar-front-door-i-side-bracket~4643811.html
16,4709402,"PAD, Spacer",,,,4,,,,discontinued,,,
17,6032723,"SCREW, 1994-96",,,,4,1,,,available,9.15,6.35,/parts/mopar-screw-self-tapping~6032723.html
18,6502676,"NUT, Plastic",,,,,,,,discontinued,,,/parts/mopar-nut-hex~6502676.html
19,4763557,"SEAL, V-Profile",,,,2,1,,,available,23.17,18.21,/parts/mopar-seal-v-profile~4763557.html
20,4709402,"PAD, Spacer",,,,2,,,,discontinued,,,
