ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4373537,"SWITCH, Stop Lamp/Speed Control (Clutch Inter-Lock)",,1994,,,,,,discontinued,,,/parts/mopar-switch-stop-lp-spd-cont~4373537.html
1,4565215,"SWITCH, Stop Lamp/Speed Control (Clutch Inter-Lock)",,1992-93,,,,,,discontinued,,,
1,4565238,"SWITCH, Stop Lamp/Speed Control (Clutch Inter-Lock)",,1995-96,,,,,,discontinued,,,
2,6031704,CLIP,,,,,,,,discontinued,,,/parts/mopar-retainer-brake-stop-lamp-switch~6031704.html
3,J3230408,"SWITCH, Engine Temp. Warning Lamp",,,,,,,,discontinued,,,
4,4626593,"SWITCH, Back-Up Lamp",,,,,,,,available,57.35,39.9,/parts/mopar-switch-back-up-lamp~4626593.html
,56007255,"SWITCH ASSEMBLY, Directional Signal",,,,,,,,discontinued,,,/parts/mopar-switch-turn-signal~56007255.html
,56003406,"SWITCH, Dimmer",,,,,,,,available,68.68,53.97,/parts/mopar-switch-dimmer~56003406.html
,5245736,"SWITCH, EBL",,,,,,,,discontinued,,,
,4565281,"SWITCH, Fog Lamp",,,,,,,,discontinued,,,/parts/mopar-switch~4565281.html
,4565320,"SWITCH, Headlamp",,,,,,,,discontinued,,,
,4763135,"SWITCH, Headlamp",,,,,,,,discontinued,,,/parts/mopar-switch-headlamp~4763135.html
,4687594AB,"SWITCH, Hood Alarm",,,,,,,,discontinued,,,/parts/mopar-switch-underhood~4687594ab.html
,53007944,"SWITCH, Outside Door Handle",,,,,,,,discontinued,,,/parts/mopar-switch-clutch-starter-interlock~53007944.html
,4848150,"SWITCH, Outside Door Handle",,,29,,,,,unavailable,,,/parts/mopar-switch-door-handle~4848150.html
,5245299,"SWITCH, Outside Door Handle",,,29,,,,"Module Switch, Instrument Panel Dimmer",discontinued,,,
,4565268,"SWITCH, Rear Fog Lamp",,,,,,,,discontinued,,,
,4565268,"SWITCH, Rear Hatch Alarm",,,,,,,,discontinued,,,
,4685295,"SWITCH, Rear Hatch Alarm",,,,,,,,discontinued,,,
,4848149,"SWITCH, Rear Hatch Alarm",,,,,,,,discontinued,,,/parts/mopar-switch-strut~4848149.html
,56021346,"SWITCH, Steering Column-Ignition Lock",,1996,,,,56021346AB,,available,315,212.63,/parts/mopar-manual-transmission-w-buzzer-halo~56021346.html
,J3250576,"SWITCH, Steering Column-Ignition Lock",,1992-95,,,,,,discontinued,,,
