ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4763935,"LABEL, Emmision",,,27,,,,(Federal),discontinued,,,/parts/mopar-label-emiss-adj-rtg-diag~4763935.html
1,4763936,"LABEL, Emmision",,,27,,,,(Calif.),discontinued,,,/parts/mopar-label-emiss-adj-rtg-diag~4763936.html
1,4708310,"LABEL, Emmision",,,,,,,Federal and H/A (1992),discontinued,,,
1,4708311,"LABEL, Emmision",,,,,,,Federal for Calif. (1992),discontinued,,,
1,4708352,"LABEL, Emmision",,,,,,,Canada and Export (1993),discontinued,,,
1,4709150,"LABEL, Emmision",,,,,,,Federal and H/A (1993),discontinued,,,
1,4709151,"LABEL, Emmision",,,,,,,Federal for Calif. (1993),discontinued,,,
1,4709454,"LABEL, Emmision",,,,,,,Federal and H/A (1994),discontinued,,,
1,4709455,"LABEL, Emmision",,,,,,,Federal for Calif. (1994),discontinued,,,
1,4709456,"LABEL, Emmision",,,,,,,Canada and Export (1994),discontinued,,,
1,4763567,"LABEL, Emmision",,,,,,,Federal and H/A (1995),discontinued,,,/parts/mopar-emissions-adj-rtg-diagram~4763567.html
1,4763568,"LABEL, Emmision",,,,,,,Federal for Calif. (1995),discontinued,,,
1,4763569,"LABEL, Emmision",,,,,,,Canada and Export (1995),discontinued,,,
1,4763937,"LABEL, Emmision",,,27,,,,(Canada and Export),discontinued,,,/parts/mopar-label-emiss-adj-rtg-diag~4763937.html
1,4848016,"LABEL, Emmision",,,29,,,,(Federal),discontinued,,,
1,4848017,"LABEL, Emmision",,,29,,,,(Calif.),discontinued,,,
1,4848018,"LABEL, Emmision",,,29,,,,(Canada and Export),discontinued,,,
