ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4709181,DECK LID ASSEMBLY,,,,,,,Export,discontinued,,,
2,4643062,HINGE ASSEMBLY,,,,2,1,,,discontinued,,,/parts/mopar-hinge-deck-lid~4643062.html
3,4643881,"SHIM, .030mm",,,,,,,,discontinued,,,/parts/mopar-shim-decklid-hinge~4643881.html
4,4643882,"SHIM, .060mm",,,,,,,,discontinued,,,/parts/mopar-shim-decklid-hinge~4643882.html
5,6500284,NUT,,,,4,,,,discontinued,,,
6,6501016,NUT and WASHER,,1992-93,,,,,,discontinued,,,/parts/mopar-nut~6501016.html
7,4643272,"ROD and Bracket ASSEMBLY, Deck Lid Prop",,,,,,,,discontinued,,,/parts/mopar-link-deck-lid-prop~4643272.html
9,J4007456,"CLIP, Prop Rod Deck Lid Stowage",,,,,,,,available,38.55,26.91,/parts/mopar-clip-prop-rod~j4007456.html
10,4708281,"BUMPER ASSEMBLY, Deck Lid Overslam",,,,,,,,discontinued,,,/parts/mopar-stop-bmpr-deck-lid~4708281.html
11,4848582,"PANEL, Fuel Tank Closeout",,1996,,,,,,discontinued,,,
12,6500911,RIVET,,,,14,1,,,available,12.8,8.85,/parts/mopar-rivet~6500911.html
13,4708057,"PLUG, (Push In), Trunk Seal",,,,2,1,,,available,47.85,33.38,/parts/mopar-plug-trunk-seal~4708057.html
14,4643604,"REINFORCEMENT, Decklid Prop Rod Mounting",,,,,,,,discontinued,,,/parts/mopar-reinfmnt-decklid-prop-rod~4643604.html
15,4848207,"SEAL ASSY., Trunck Closeout, 1995,96",Left,,,,,,,discontinued,,,
16,4848241,"COVER, Fuel Tank Access",,,,,,,,discontinued,,,/parts/mopar-cover-fuel-tank-access~4848241.html
