ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4709239,HOOD ASSEMBLY,,,27,,,,"1993-94, After 4-20-93 (Domestic)",discontinued,,,
1,4709240,HOOD ASSEMBLY,,,27,,,,"1994, Primed (EXPORT)",discontinued,,,
1,4709449,HOOD ASSEMBLY,,,27,,,,"1995-96, Primed (Domestic)",discontinued,,,
1,4709450,HOOD ASSEMBLY,,,27,,,,"1995, Primed (EXPORT)",discontinued,,,
1,4763322,HOOD ASSEMBLY,,,29,,,,1996 (Domestic),discontinued,,,
1,4763929,HOOD ASSEMBLY,,,27,,,,"1996, Primed (EXPORT)",discontinued,,,
1,PB48RJE,HOOD ASSEMBLY,,,27,,,,"1996, Yellow (Domestic)",discontinued,,,
1,PB49RJE,HOOD ASSEMBLY,,,27,,,,"1996, Yellow (EXPORT)",discontinued,,,
2,6003351,"FASTENER, Hood Silencer",,,,,,,,available,9,6.23,/parts/mopar-fastener-hood-insulation~6003351.html
3,5245781,"HEAT SHIELD, Silencer, Center",,,27,,,,,discontinued,,,
3,6503999,"HEAT SHIELD, Silencer, Center",,,,2,1,,"PIN, Push-In, Ground Shield to Chassis",discontinued,,,/parts/mopar-pin-ground-shield-to-chassis~6503999.html
3,6504004,"HEAT SHIELD, Silencer, Center",,,,2,1,,"NUT and SPRING, Push-On",discontinued,,,/parts/mopar-nut-push-on~6504004.html
4,4848025,HEAT SHIELD,Left,,29,,,,,discontinued,,,
5,4708281,"BUMPER, Front Hood Stabilizer",,,,2,1,,,discontinued,,,/parts/mopar-stop-bmpr-deck-lid~4708281.html
6,6100591,"SCREW, M8x1.25x25.00",,,,10,1,,,discontinued,,,/parts/mopar-screw-hex-head~6100591.html
7,4708435,"HINGE ASSEMBLY, (Includes Secondary Latch)",,,,,,,"After 10-31-92, Up to 3-11-93",discontinued,,,
7,4709251,"HINGE ASSEMBLY, (Includes Secondary Latch)",,,,,,,"1994,95After 3-11-93",discontinued,,,
7,4848590,"HINGE ASSEMBLY, (Includes Secondary Latch)",,1996,27,,,,,discontinued,,,
9,6100583,"SCREW and WASHER, M8x1.25x25.00",,,,4,1,,,available,,14.51,/parts/mopar-screw-hex-head~6100583.html
10,4708439,"LATCH and BRACKET ASSY., Hood Primary",,,,2,1,4708439AB,,discontinued,,,/parts/mopar-latch-hood~4708439.html
11,5245045,"STRIKER, Hood Latch",,,,,,,"1995-96, After 9-7-94",discontinued,,,
12,6100557,"SCREW, 1993-96, M6x1.00x20.00",,,,,,,,available,9.2,6.41,/parts/mopar-screw-hex-head~6100557.html
13,4708005,"PIVOT ASSY., Hood Hinge Lift Assist",,,,,,,"1993, Up to 1-21-93, Left",discontinued,,,
13,4709074,"PIVOT ASSY., Hood Hinge Lift Assist",,,,,,,"After 1-21-93, 1994-95-96, Right",unavailable,,,/parts/mopar-hinge-hood-hinge-lift-assist~4709074.html
13,4709075,"PIVOT ASSY., Hood Hinge Lift Assist",,,,,,,"After 1-21-93, 1994-95-96, Left",discontinued,,,/parts/mopar-hinge-hood-hinge-lift-assist~4709075.html
14,6100584,"SCREW and WASHER, M8x1.25x30.00",,,,6,1,,,discontinued,,,/parts/mopar-screw-hex-head~6100584.html
15,4643875,"BRACKET ASSY., Lower Hood Lateral Stablizer , Right",,,,,,,"BRACKET ASSY., Lower Hood Lateral Stablizer , Left",available,20.59,16.18,/parts/mopar-bracket-lower-hood-lateral~4643875.html
17,4643374,"BRACKET, Lower Hood Lateral Stabilizer Catch",,,,2,1,,,discontinued,,,/parts/mopar-bracket-lower-hood-lateral~4643374.html
18,6100657,"SCREW and WASHER, M6x1.00x25.00",,,,2,1,,,available,3.7,2.5,/parts/mopar-pin~6100657.html
19,5245115,"BRACKET, Rear Hold Down, Right",,,,2,1,,"BRACKET, Rear Hold Down, Left",discontinued,,,/parts/mopar-bracket-hood~5245115.html
21,4643463,SHIM,,,,,,,,available,12.14,9.54,/parts/mopar-shim-hood-latch~4643463.html
22,5245117,"BRACKET, Rear Hood Hold Down, Right",,,,,,,"BRACKET, Rear Hood Hold Down, Left",discontinued,,,
24,6500532,"NUT and WASHER, M8x1.25",,,,4,,,,discontinued,,,
25,4642875,"SCREEN ASSY., Air Inlet",,,,,,,"1993, Up to 5-27-93, Left",discontinued,,,
25,4709248,"SCREEN ASSY., Air Inlet",,,,,,,"1993-96, After 5-27-93, Right",discontinued,,,/parts/mopar-grille-hood~4709248.html
25,4709249,"SCREEN ASSY., Air Inlet",,,,,,,"1993-96, After 5-27-93, Left",discontinued,,,/parts/mopar-grille-hood~4709249.html
27,4643073,"SEAL, Hood to Cowl",,,,,,,,discontinued,,,/parts/mopar-seal-hood-to-cowl~4643073.html
28,4763331,"LOUVER, Hood",Left,,,,,,,discontinued,,,
29,6500808,"BEZEL, Nacaduct",,,,6,,,"STUD, Hood Louver",discontinued,,,
