ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5245792,"RAIL ASSEMBLY, Fuel Supply",,1994-96,,,,,,discontinued,,,/parts/mopar-rail-fuel~5245792.html
2,5245471,"O-RING, Fuel Supply",,,,,,,,discontinued,,,
3,5245572,"CLIP, Fuel Rail, 1992-93",,,,,,,,discontinued,,,
4,154777,"SCREW, Injector Mounting",,,27,10,1,,,available,14.2,7.13,/parts/mopar-bolt~154777.html
5,4723971,"O-RING PACKAGE, Fuel Injector",,,,,,,,available,10.59,8.32,/parts/mopar-oring-pkg-fuel-injector~4723971.html
6,5245412,"TUBE, Fuel Crossover, 1992-93",,,,,,,,discontinued,,,/parts/mopar-hose-fuel-crossover~5245412.html
7,5245259,"RETAINER, Injector",,1992-93,,10,,,,discontinued,,,
7,5245809,"RETAINER, Injector",,1994-96,,,,,,discontinued,,,/parts/mopar-retainer-fuel-injector~5245809.html
8,5245344,"INJECTOR, Fuel",,,27,,,,,discontinued,,,/parts/mopar-injector-fuel~5245344.html
9,6034533,"SCREW, Fuel Rail, 1992-93",,,,2,,,,discontinued,,,
