ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4763923AC,DOOR Front Service Dealer Paint,Left,,29,,,,,discontinued,,,/parts/mopar-door-front~4763923ac.html
1,4848620,DOOR Front Service Dealer Paint,,,27,,,,Right Up to 04-08-97,available,611.21,480.31,/parts/mopar-door-front~4848620.html
1,4848620AB,DOOR Front Service Dealer Paint,,,27,,,,Right w/Notch for Belt Weatherstrip,discontinued,,,/parts/mopar-door-front~4848620ab.html
1,4848620AC,DOOR Front Service Dealer Paint,,,27,,,,Right After 09-01-97,discontinued,,,/parts/mopar-door-front~4848620ac.html
1,4848621,DOOR Front Service Dealer Paint,,,27,,,,Left Up to 04-08-97,discontinued,,,/parts/mopar-front-door~4848621.html
1,4848621AB,DOOR Front Service Dealer Paint,,,27,,,,Left w/Notch for Belt Weatherstrip,discontinued,,,/parts/mopar-door-front~4848621ab.html
1,4848621AC,DOOR Front Service Dealer Paint,,,27,,,,Left After 09-01-97,discontinued,,,/parts/mopar-door-front~4848621ac.html
2,ME75MX3,"MOLDING B Pillar Stanchion Cover, includes Sealer Tape",Left,,29,,,,,discontinued,,,
2,QB96JX8AE,"MOLDING B Pillar Stanchion Cover, includes Sealer Tape",Right,,27,,,,,discontinued,,,
2,QB97JX8AE,"MOLDING B Pillar Stanchion Cover, includes Sealer Tape",Left,,27,,,,,discontinued,,,
7,5245109,HINGE Front Door,,,,2,1,,,unavailable,,,/parts/mopar-hinge-front-door~5245109.html
8,6502549,SCREW Pan Head M8x1.25x30,,,,4,1,,,available,7.8,5.13,/parts/mopar-screw-pan-head~6502549.html
9,6503351,SCREW AND WASHER Hex Head M8x1.25x35,,,,4,1,,,discontinued,,,/parts/mopar-screw-hex-head~6503351.html
11,6502676,NUT Hex M6x1.00,,,,4,1,,,discontinued,,,/parts/mopar-nut-hex~6502676.html
12,6032723,SCREW Self Tapping M4.2x1.69x19.05,,,,4,1,,,available,9.15,6.35,/parts/mopar-screw-self-tapping~6032723.html
13,4642957,COVER Hinge,Left,,,,,,,available,211.53,166.23,/parts/mopar-panel-hinge~4642957.html
14,35022111,SPACER Fender 1.0,,,,,,,,discontinued,,,/parts/mopar-shim-fender~35022111.html
,4763963,BRACKET,,,,,,,,discontinued,,,/parts/mopar-bracket~4763963.html
,4658887,PUSH PIN Front Door Glass Run With Weatherstrip,,,,4,1,,,available,7.15,4.95,/parts/mopar-retainer~4658887.html
