ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4883828AA,KEY Ignition,,,,,,,,available,200,162,/parts/mopar-key-ignition~4883828aa.html
2,55075487,KEY Blank,,,,,,,,available,27.35,19.05,/parts/mopar-key-blank~55075487.html
3,4897986AA,CYLINDER Ignition Lock,,,,,,,,available,218,153.27,/parts/mopar-cyl-lock-ignition-lock~4897986aa.html
4,4778117,TUMBLER Door and Deck Number 1 Wide,,,,,,4778117AB,,available,4.8,3.32,/parts/mopar-tumbler-door-and-deck-number-1~4778117.html
8,4778121,SPRING Door and Deck Tumbler,,,,,,,,available,3.45,2.39,/parts/mopar-spring-tumbler~4778121.html
9,4778147,CYLINDER Deck Lid Lock,,,,,,,,discontinued,,,/parts/mopar-cyl-lock-deck-lid-lock~4778147.html
10,4778117,TUMBLER Door and Deck Number 1 Wide,,,,,,4778117AB,,available,4.8,3.32,/parts/mopar-tumbler-door-and-deck-number-1~4778117.html
14,4778121,SPRING Door and Deck Tumbler,,,,,,,,available,3.45,2.39,/parts/mopar-spring-tumbler~4778121.html
15,4746903,CYLINDER Glove Box Lock,,,,,,,,discontinued,,,/parts/mopar-cyl-lock-glove-box-lock~4746903.html
16,5257132,TUMBLER Ignition Number 1,,,,,,5257132AB,,available,4.95,3.44,/parts/mopar-tumbler-ignition-number-1~5257132.html
20,4746873,SPRING Lock Cylinder Tumbler,,,,,,,,available,4.7,3.26,/parts/mopar-spring-lock-cylinder-tumbler~4746873.html
21,4054202,NUT Cylinder Lock,,,,,,,,available,27.6,11,/parts/mopar-nut-cylinder-lock~4054202.html
22,4848692,GASKET Key Cylinder Isolator,,,,,,,,available,12.14,9.54,/parts/mopar-gasket-key-cylinder-isolator~4848692.html
23,5257163,CAP Lock Cylinder,,,,,,,,discontinued,,,
24,3695321,GASKET Lock Cylinder,,,,,,,,available,15.75,5.53,/parts/mopar-gasket-lock-cylinder~3695321.html
25,4740757,CAP Ignition Cylinder Black Plastic,,,,,,,,discontinued,,,
26,4778151,"SHUTTER Door, Deck Lid Black",,,,,,,,discontinued,,,
27,5257245,SPRING Deck Lid Return,,,,,,,,available,10.2,4.64,/parts/mopar-spring-deck-lid-return~5257245.html
28,4723494,LEVER Deck Lid Lock Cylinder,,,,,,,,available,11.8,8.17,/parts/mopar-lever-deck-lid-lock-cylinder~4723494.html
29,4848832,MODULE Keyless Entry Receiver,,,,,,,,discontinued,,,
30,5245289,TRANSMITTER Keyless Entry,,,,,,,,discontinued,,,
,4848290,STRAP Module Mounting,,,,,,,,discontinued,,,/parts/mopar-strap-module-mounting~4848290.html
,4778118,TUMBLER Door and Deck Number 2 Wide,,,,,,4778118AB,,available,5.4,3.73,/parts/mopar-tumbler-door-and-deck-number-2~4778118.html
,4778119,TUMBLER Door and Deck Number 3 Wide,,,,,,4778119AB,,available,5.4,3.73,/parts/mopar-tumbler-door-and-deck-number-3~4778119.html
,4778120,TUMBLER Door and Deck Number 4 Wide,,,,,,4778120AB,,available,5.4,3.73,/parts/mopar-tumbler-door-and-deck-number-4~4778120.html
,5257133,TUMBLER Ignition Number 2,,,,,,5257133AB,,available,3.95,2.74,/parts/mopar-tumbler-ignition-number-2~5257133.html
,5257134,TUMBLER Ignition Number 3,,,,,,5257134AB,,available,4.95,3.44,/parts/mopar-tumbler-ignition-number-3~5257134.html
,5257135,TUMBLER Ignition Number 4,,,,,,5257135AB,,available,4.95,3.44,/parts/mopar-tumbler-ignition-number-4~5257135.html
