ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4848697AD,WINDSHIELD,,,29,,,,,discontinued,,,
2,4643847,SHIM Windshield,,,,,,,,available,2.2,1.28,/parts/mopar-shim-windshield~4643847.html
3,4054098,BUTTON Rear View Mirror,,,,,,,,discontinued,,,
3,PR74DX9AD,FRAME Windshield,,,,,,,,discontinued,,,
4,4643256,MIRROR Inside Rear View Lighted,,,,,,,,discontinued,,,
4,6031094,SCREW Pan Head Tapping .19-16x.375,,,,,,,,discontinued,,,
5,4054098,BUTTON Rear View Mirror,,,,,,,,discontinued,,,
5,4848196,MIRROR ASSEMBLY I/S Prismatic,,,,,,,,discontinued,,,
6,6031094,SCREW Pan Head Tapping .19-16x.375,,,,,,,,discontinued,,,
6,4278662,SPACER,,,,4,1,,,available,4.15,2.85,/parts/mopar-spacer~4278662.html
7,4848883AA,BACKLITE,,,,,,,,discontinued,,,/parts/mopar-backlite~4848883aa.html
7,SX50VA9AA,MOLDING A PILLAR,,,,,,SX50TZZAA,Right Silver,discontinued,,,/parts/mopar-cover-a-pillar~sx50va9aa.html
7,SX51LRNAA,MOLDING A PILLAR,,,,,,,Left Red,discontinued,,,/parts/mopar-cover-a-pillar~sx51lrnaa.html
7,SX51VA9AA,MOLDING A PILLAR,,,,,,SX51TZZAA,Left Silver,discontinued,,,/parts/mopar-cover-a-pillar~sx51va9aa.html
8,QM22MX4AC,FRAME Windshield Surround,,,,,,QM22MX4AE,,available,6515,5520.05,/parts/mopar-frame-windshield-surround~qm22mx4ac.html
9,4848823,BRACKET Windshield Frame to Roof,,,,5,1,,,discontinued,,,/parts/mopar-bracket-windshield-frame-to-roof~4848823.html
10,4848527,BRACKET Windshield,Left,,,,,,,discontinued,,,/parts/mopar-bracket-windshield~4848527.html
11,6100582,BOLT AND CONED WASHER Hex Head M8x20x20,,,,5,1,,,discontinued,,,/parts/mopar-screw-hex-head~6100582.html
13,4763889AD,RETAINER Front Pillar to Glass,Left,,,,,,,available,62.35,49.05,/parts/mopar-retainer-front-pillar-to-glass~4763889ad.html
14,5245843,LOCK COVER Dual Cover Half,,,,6,1,,,discontinued,,,/parts/mopar-cover-dual~5245843.html
14,4848307,RETAINER A Pillar Trim,Left,,,,,,,discontinued,,,/parts/mopar-retainer-a-pillar-trim~4848307.html
15,5245842,LOCK COVER Dual Body Half,,,,6,1,,,discontinued,,,/parts/mopar-cover-dual~5245842.html
16,RC77DX9AA,CAP,Left,,,,,,,discontinued,,,/parts/mopar-cap-end~rc77dx9aa.html
16,6500584,SCREW AND WASHER Hex Head M8x1.25x30,,,,5,1,,,available,10.35,7.16,/parts/mopar-bolt-hex-head~6500584.html
17,4848371,SEAL Sport Cap Base,,,,2,1,,,available,19,14.93,/parts/mopar-seal-sport-cap-base~4848371.html
18,6500584,SCREW AND WASHER Hex Head M8x1.25x30,,,,8,1,,,available,10.35,7.16,/parts/mopar-bolt-hex-head~6500584.html
,4848889AA,BACKLITE Lock Cover,Left,,,,,,,available,23.35,18.35,/parts/mopar-cover-lock-cover~4848889aa.html
,4848891AA,BACKLITE Lock Package,,,,,,,,discontinued,,,/parts/mopar-key-pkg-lock-package~4848891aa.html
,4848886AA,BACKLITE Snap Assy,,,,,,,,discontinued,,,/parts/mopar-snap-snap-assy~4848886aa.html
,GA75LX7,BAG Backlite,,,,,,,,discontinued,,,/parts/mopar-bag-backlite~ga75lx7.html
,4848894AA,KEY Backlite Viper,,,,2,1,,,discontinued,,,/parts/mopar-key-backlite~4848894aa.html
,4848895AA,LOCK COVER End Cap,,,,2,1,,,discontinued,,,/parts/mopar-cover-end-cap~4848895aa.html
,4643847,SHIM Windshield,,,,,,,,available,2.2,1.28,/parts/mopar-shim-windshield~4643847.html
,4848896AA,WASHER Lock Cylinder With Seal,,,,2,1,,,discontinued,,,/parts/mopar-washer-lock-cylinder~4848896aa.html
,4848305AG,WEATHERSTRIP A-Pillar to Roof,Left,,,,,4848305AH,,discontinued,,,/parts/mopar-w-strip-a-pillar-to-roof~4848305ag.html
