ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,QD07DX9AB,CARPET Front Floor 12 oz,,,,,,,,discontinued,,,/parts/mopar-carpet-front-floor-12-oz~qd07dx9ab.html
2,QD07DX9AB,CARPET Front Floor 12 oz,,,,,,,,discontinued,,,/parts/mopar-carpet-front-floor-12-oz~qd07dx9ab.html
3,LC11DX9AB,CARPET Cargo Side Trim,,,,,,,,discontinued,,,
4,LC12DX9,CARPET Luggage Compartment,,,,,,,,discontinued,,,
6,LC07SX7AB,PANEL Cargo Door Header Trim,,,,,,,,discontinued,,,
7,QK43SX7,PANEL Cargo Door Header Trim,Left,,,,,,,discontinued,,,/parts/mopar-panel-cargo-door-header-trim~qk43sx7.html
8,6031869,NUT Push .19,,,,10,1,,,discontinued,,,/parts/mopar-grommet-push~6031869.html
10,4709275,PAD Bulkhead Spacer,,,,2,1,,,discontinued,,,/parts/mopar-pad-bulkhead-spacer~4709275.html
11,34201398,SCREW AND WASHER Oval Truss Head .164-18x.984,,,,4,1,,,discontinued,,,/parts/mopar-screw-oval-truss-head~34201398.html
12,6031869,NUT Push .19,,,,10,1,,,discontinued,,,/parts/mopar-grommet-push~6031869.html
,6505392AA,WASHER Rubber Mount,,,,2,1,,,discontinued,,,/parts/mopar-washer-rubber-mount~6505392aa.html
