ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4671334,SWITCH Stop Lamp,,,,,,68003916AA,,available,51.8,36,/parts/mopar-switch-stop-lamp~4671334.html
2,4848110,SENDING UNIT Temperature Gauge,,,,,,,,discontinued,,,/parts/mopar-sensor-temperature-gauge~4848110.html
3,4626593,SWITCH Back Up Lamp,,,,,,,,available,57.35,39.9,/parts/mopar-switch-back-up-lamp~4626593.html
4,53007944AB,SWITCH Clutch Starter Interlock,,,,,,,,available,170,114.75,/parts/mopar-switch-clutch-starter-interlock~53007944ab.html
6,56026779,SENDING UNIT Oil Pressure,,,,,,,,discontinued,,,/parts/mopar-sending-unit-oil-pressure-1991~56026779.html
7,5245736,SWITCH Electric Back Light,,,,,,,,discontinued,,,
8,4687594,SWITCH Door Ajar,,,,,,,,discontinued,,,/parts/mopar-switch-door-ajar~4687594.html
9,4848283AC,BRACKET Wiring,,,,,,,,discontinued,,,/parts/mopar-bracket-wiring~4848283ac.html
10,4848149,SWITCH Strut,,,,,,,,discontinued,,,/parts/mopar-switch-strut~4848149.html
13,56021346,SWITCH Ignition,,,,,,56021346AB,,available,315,212.63,/parts/mopar-manual-transmission-w-buzzer-halo~56021346.html
16,4685434,SWITCH Power Window,,,,2,1,,,discontinued,,,/parts/mopar-switch-power-window-1-gang~4685434.html
18,4854270AA,SWITCH Mirror,,,,,,,,discontinued,,,/parts/mopar-switch-mirror~4854270aa.html
20,4848934AA,SWITCH Passenger Airbag Disarm,,,,,,,,discontinued,,,/parts/mopar-switch-passenger-airbag-disarm~4848934aa.html
,4848135,KNOB Head Lamp Switch,,,,,,,,discontinued,,,/parts/mopar-knob-head-lamp-switch~4848135.html
,4854304AA,NUT,,,,,,,,discontinued,,,/parts/mopar-nut~4854304aa.html
,6503845,SCREW Ignition Switch,,,,5,1,,,available,5.25,2.48,/parts/mopar-screw-ignition-switch~6503845.html
,4848150,SWITCH Door Handle,,,,2,1,,,unavailable,,,/parts/mopar-switch-door-handle~4848150.html
,4763135,SWITCH Headlamp,,,,,,,,discontinued,,,/parts/mopar-switch-headlamp~4763135.html
,4728424,SWITCH Multifunction,,,,,,,,discontinued,,,/parts/mopar-switch-multifunction~4728424.html
,4848295,SWITCH Oil Pressure,,,,,,,,discontinued,,,/parts/mopar-switch-oil-pressure~4848295.html
,4848291,SWITCH Windshield Wiper,,,,,,,,discontinued,,,/parts/mopar-switch-wiper~4848291.html
