ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,LB39JX8AG,FASCIA Instrument Panel,,,,,,,,discontinued,,,/parts/mopar-i-panel-instrument-panel~lb39jx8ag.html
2,6032723,SCREW Self Tapping M4.2x1.69x19.05,,,,23,1,,,available,9.15,6.35,/parts/mopar-screw-self-tapping~6032723.html
4,4763605,SUPPORT Instrument Panel,Left,,,,,,,discontinued,,,/parts/mopar-support-instrument-panel~4763605.html
5,0154555,SCREW,,,,2,,,,discontinued,,,
7,4763611,PLATE Instrument Panel Support,Left,,,,,,,discontinued,,,/parts/mopar-plate-instrument-panel-support~4763611.html
9,5245962AB,PANEL Instrument Closure,Left,,,,,,,discontinued,,,/parts/mopar-bezel-instrument-closure~5245962ab.html
10,6032723,SCREW Self Tapping M4.2x1.69x19.05,,,,4,1,,,available,9.15,6.35,/parts/mopar-screw-self-tapping~6032723.html
12,4763468AC,CARRIER Instrument Panel,,,,,,,,discontinued,,,
13,QN71BX7AC,PAD Instrument Panel,,,,,,,,discontinued,,,/parts/mopar-pad-instrument-panel~qn71bx7ac.html
14,6035625,SCREW,,,,3,1,,,available,18,12.52,/parts/mopar-screw-tapping~6035625.html
15,PK84JX8AD,BEZEL Instrument Panel,,,,,,,Center Bezel Black,discontinued,,,/parts/mopar-bezel-instrument-panel~pk84jx8ad.html
18,D221SX8,ASH RECEIVER Rear Door,,,,,,,,discontinued,,,/parts/mopar-ashtray-rear-door~d221sx8.html
21,RW19JX8AB,AIR BAG Passenger,,,,,,,,discontinued,,,
22,34202304,NUT M5x.8,,,,2,1,,,discontinued,,,/parts/mopar-nut~34202304.html
23,4763135,SWITCH Headlamp,,,,,,,,discontinued,,,/parts/mopar-switch-headlamp~4763135.html
27,4848798,CAP,,,,,,,,discontinued,,,/parts/mopar-cap~4848798.html
28,LB36WUCAD,PAD Instrument Panel,,,,,,,Kneeblocker Right Cognac (Brown),discontinued,,,/parts/mopar-pad-instrument-panel~lb36wucad.html
,4848663,BEZEL Security Indicator,,,,,,,,discontinued,,,/parts/mopar-bezel-security-indicator~4848663.html
,6032268,CLIP M5.35x12.65,,,,6,1,,,discontinued,,,/parts/mopar-clip~6032268.html
,6503519,CLIP M7.25x16.20,,,,6,1,,,discontinued,,,/parts/mopar-clip~6503519.html
,6034833,CLIP Push .164-7.5,,,,36,1,,,available,22.35,14.51,/parts/mopar-clip-snap-in~6034833.html
,4848773,COVER Fuse Access,,,,,,,,discontinued,,,
,4848135,KNOB Head Lamp Switch,,,,,,,,discontinued,,,/parts/mopar-knob-head-lamp-switch~4848135.html
,4848579,LABEL Fuse Block,,,,,,,,discontinued,,,/parts/mopar-decal-fuse-block~4848579.html
,5245299AB,MODULE Lighting Control,,,,,,,,available,108,93.32,/parts/mopar-module-lighting-control~5245299ab.html
,4854434AA,NAMEPLATE Instrument Panel,,,,,,,,discontinued,,,/parts/mopar-nameplate-instrument-panel~4854434aa.html
,4848664,WIRING LED Security,,,,,,,,discontinued,,,/parts/mopar-wiring-led-security~4848664.html
