ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4874423,HOUSING A/C And Heater,,,,,,,,discontinued,,,
4,4874422,COVER Heater,,,,,,,,discontinued,,,/parts/mopar-cover-heater~4874422.html
5,4874375,ACTUATOR Heater Door,,,,,,,,discontinued,,,/parts/mopar-actuator-heater-door~4874375.html
6,4874376,ACTUATOR Fresh Air Door,,,,,,,,discontinued,,,/parts/mopar-actuator-fresh-air-door~4874376.html
8,4886471AA,HARNESS A/C And Heater Vacuum,,,,,,,,discontinued,,,/parts/mopar-harness-a-c-and-heater-vacuum~4886471aa.html
9,4708364,WIRING Heater and A/C,,,,,,,,discontinued,,,/parts/mopar-wiring-heater-and-a-c~4708364.html
10,4708205,THERMOSTAT Air Conditioning,,,,,,,,discontinued,,,/parts/mopar-thermosta-air-conditioning~4708205.html
11,4874421,BRACKET Heater Core,,,,,,,,discontinued,,,/parts/mopar-bracket-heater-core~4874421.html
12,4874374,CORE Heater,,,,,,,,discontinued,,,/parts/mopar-core-heater~4874374.html
13,4708196,EVAPORATOR Air Conditioning,,,,,,,,discontinued,,,
14,4709102,VALVE A/C Expansion,,,,,,,,discontinued,,,/parts/mopar-valve-a-c-expansion~4709102.html
15,4874424,SEAL KIT A/C And Heater Unit,,,,,,,,discontinued,,,/parts/mopar-seal-a-c-and-heater-unit~4874424.html
,4848515,ACTUATOR Recirculation Door,,,,,,,,discontinued,,,
,4874425,CLIP Spring,,,,6,1,,,available,7.35,4.95,/parts/mopar-clip-spring~4874425.html
,4763972AB,DUCT A/C And Heater,,,,,,,,discontinued,,,/parts/mopar-duct-a-c-and-heater~4763972ab.html
