ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4643416AB,FLYWHEEL,,,,,,,,unavailable,,,/parts/mopar-flywheel~4643416ab.html
2,4848733AC,CRANKSHAFT,,,,,,,,discontinued,,,/parts/mopar-crankshft~4848733ac.html
3,6035811,BOLT Hex Head .437-20x1.50,,,,8,1,,,available,30.05,20.4,/parts/mopar-bolt-hex-head~6035811.html
4,4763726,RETAINER Crankshaft Rear Oil Seal,,,,,,,,discontinued,,,/parts/mopar-seal-crankshaft-rear-oil-seal~4763726.html
5,4428037,GEAR Ring,,,,,,,,discontinued,,,/parts/mopar-gear-ring-ring~4428037.html
6,5245072AB,GASKET Rear Oil Seal Retainer,,,,,,,,discontinued,,,
7,2421305,BEARING Connecting Rod STD.,,,,10,1,,,available,22.29,17.51,/parts/mopar-brg-pkg-connecting-rod~2421305.html
8,5037004AA,BOLT Connecting Rod,,,,10,1,,,discontinued,,,/parts/mopar-bolt-connecting-rod~5037004aa.html
9,5037000AA,NUT Hex .375-24,,,,10,1,,,discontinued,,,/parts/mopar-nut-hex~5037000aa.html
10,5016977AA,PISTON PIN AND ROD STD,,,,,,,Left Standard,discontinued,,,/parts/mopar-piston~5016977aa.html
13,4883682AA,BEARING PACKAGE Crankshaft Main,,,,,,,[.001 Undersize +.30 Outside Diameter],discontinued,,,/parts/mopar-brg-pkg-crankshaft~4883682aa.html
13,4883683AA,BEARING PACKAGE Crankshaft Main,,,,,,,[.002 Undersize +.30 Outside Diameter],discontinued,,,/parts/mopar-brg-pkg-crankshaft~4883683aa.html
13,4883684AA,BEARING PACKAGE Crankshaft Main,,,,,,,[.010 Undersize +.30 Outside Diameter],discontinued,,,/parts/mopar-brg-pkg-crankshaft~4883684aa.html
14,4883686AA,BEARING PACKAGE Crankshaft,,,,,,,Thrust [.001 Undersize +.030 Outside Diameter],available,294,13.46,/parts/mopar-brg-pkg-crankshaft~4883686aa.html
14,4883687AA,BEARING PACKAGE Crankshaft,,,,,,,Thrust [.002 Undersize +.030 Outside Diameter],discontinued,,,/parts/mopar-brg-pkg-crankshaft~4883687aa.html
14,4883688AA,BEARING PACKAGE Crankshaft,,,,,,,Thrust [.020 Undersize +.030 Outside Diameter],discontinued,,,/parts/mopar-brg-pkg-crankshaft~4883688aa.html
15,4723538,BEARING PACKAGE Crankshaft Standard,,,,,,,[#1-2-4-5-6-White/Clear],discontinued,,,/parts/mopar-brg-pkg-crankshaft~4723538.html
15,4723541,BEARING PACKAGE Crankshaft Standard,,,,,,,[#1-2-4-5-6-Orange],discontinued,,,/parts/mopar-brg-pkg-crankshaft~4723541.html
15,4740292,BEARING PACKAGE Crankshaft Standard,,,,,,,[#1-2-4-5-6-Black],available,6.52,5.12,/parts/mopar-brg-pkg-crankshaft~4740292.html
15,4883374AA,BEARING PACKAGE Crankshaft Standard,,,,,,,[#1-2-4-5-6-Yellow],discontinued,,,/parts/mopar-brg-pkg-crankshaft~4883374aa.html
16,4723540,BEARING PACKAGE Crankshaft Thrust Standard Size,,,,,,,White/Clear,discontinued,,,/parts/mopar-brg-pkg-crankshaft-thrust~4723540.html
16,4723542,BEARING PACKAGE Crankshaft Thrust Standard Size,,,,,,,Orange,discontinued,,,/parts/mopar-brg-pkg-crankshaft-thrust~4723542.html
16,4740293,BEARING PACKAGE Crankshaft Thrust Standard Size,,,,,,,Black,discontinued,,,/parts/mopar-brg-pkg-crankshaft-thrust~4740293.html
16,4883375AA,BEARING PACKAGE Crankshaft Thrust Standard Size,,,,,,,Yellow,discontinued,,,/parts/mopar-brg-pkg-crankshaft-thrust~4883375aa.html
17,6034749,KEY Crankshaft Sprocket,,,,,,,,available,6.8,4.6,/parts/mopar-key-woodruff~6034749.html
18,5245110,DAMPER Crankshaft,,,,,,,,discontinued,,,/parts/mopar-damper-crankshaft~5245110.html
19,6034504,WASHER Flat .78x1.94,,,,,,,,available,7.1,6.17,/parts/mopar-washer-flat~6034504.html
20,6034505,SCREW Hex Head .75-16x2.25,,,,,,,,available,5.75,5.01,/parts/mopar-screw-hex-head~6034505.html
21,6035470,BOLT Bearing Cap,,,,12,1,6036816AA,,available,17.85,12.47,/parts/mopar-bolt-hex-head~6035470.html
22,6035665,BOLT Bearing Cap,,,,4,1,,,available,12.5,9.83,/parts/mopar-bolt~6035665.html
23,6035469,STUD .562-12x5.670,,,,8,1,,,discontinued,,,/parts/mopar-stud~6035469.html
24,53009181AB,BEARING Pilot,,,,,,,,available,42.7,29.59,/parts/mopar-bearing-pilot~53009181ab.html
25,5016985AA,PISTON RING SET COMPLETE ENGINE STD.,,,,,,,,discontinued,,,
,5016979AA,"PISTON PIN AND ROD .010"" O/S",,,,,,,Left [.010 Oversize],discontinued,,,/parts/mopar-piston~5016979aa.html
,5016981AA,"PISTON PIN AND ROD .020"" O/S",,,,,,,Left [.020 Oversize],discontinued,,,/parts/mopar-piston~5016981aa.html
