ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4384188,SEAL Drive Pinion,,,,,,,,available,47.7,33.14,/parts/mopar-seal-drive-pinion~4384188.html
2,4626710,PLUG Differential Housing,,,,,,68401316AB,,available,13.5,9.26,/parts/mopar-plug-differential-housing~4626710.html
3,4626696,SEAL Axle Drive Shaft,,,,2,1,,,available,35.05,24.35,/parts/mopar-seal-axle-drive-shaft~4626696.html
4,6100520,NUT Hex Flange Head Locking M14x2,,,,2,1,,,available,13.2,9.15,/parts/mopar-nut-hex-flange-head-locking~6100520.html
5,5012937AA,COVER Differential,,,,,,,,discontinued,,,/parts/mopar-cover-differential~5012937aa.html
6,4626738AB,BUSHING Axle Mount,,,,2,1,,,discontinued,,,/parts/mopar-bushing-axle-mount~4626738ab.html
7,6506890AA,WASHER Flat,,,,2,1,,,available,2.85,2.45,/parts/mopar-washer-flat~6506890aa.html
8,6100468,BOLT Hex Head M16x95,,,,2,1,,,discontinued,,,/parts/mopar-screw-hex-head~6100468.html
9,5252503,SCREW Drive Gear,,,,10,1,,,available,14.05,9.73,/parts/mopar-bolt-ring-gear~5252503.html
10,5014114AA,CASE Differential,,,,,,,,discontinued,,,/parts/mopar-differntl-differential~5014114aa.html
15,4626709,BOLT Differential Cover,,,,9,1,,,available,4.25,3.67,/parts/mopar-boot-differential-cover~4626709.html
,6502578,BOLT AND WASHER Hex Head M14 x 2.00 x 200.00,,,,2,1,,,discontinued,,,/parts/mopar-screw-hex-head~6502578.html
,6100520,NUT Hex Flange Head Locking M14x2,,,,2,1,,,available,13.2,9.15,/parts/mopar-nut-hex-flange-head-locking~6100520.html
,4626707,RING Axle Shaft,,,,2,1,,,available,7.08,5.57,/parts/mopar-snap-ring-axle-shaft~4626707.html
,6506890AA,WASHER Flat,,,,2,1,,,available,2.85,2.45,/parts/mopar-washer-flat~6506890aa.html
