ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4642930,LAMP Side Marker,,,,2,1,,,discontinued,,,/parts/mopar-lamp-side-marker~4642930.html
2,6025002,NUT AND WASHER Hex Nut-Coned Washer .190-24,,,,4,1,,,discontinued,,,/parts/mopar-nut-hex-nut-coned-washer~6025002.html
3,4865448AA,COVER Fog Lamp,,,,2,1,,,discontinued,,,/parts/mopar-cover-fog-lamp~4865448aa.html
4,5245104,LAMP Fog,,,,2,1,,,discontinued,,,/parts/mopar-lamp-fog~5245104.html
6,5245172,BRACKET Fog Lamp,,,,2,1,,,discontinued,,,/parts/mopar-bracket-fog-lamp~5245172.html
7,154150,SCREW Hex Flange Head,,,,6,1,,,available,5.3,3.64,/parts/mopar-screw-hex-flange-head~154150.html
10,4848063AD,HEADLAMP,Left,,,,,,,discontinued,,,/parts/mopar-headlamp~4848063ad.html
14,6504572,NUT AND WASHER Hex Nut-Coned Washer M8 x 1.25,,,,8,1,,,discontinued,,,/parts/mopar-nut-hex-nut-coned-washer~6504572.html
15,4643463,SHIM Hood Latch,,,,,,,,available,12.14,9.54,/parts/mopar-shim-hood-latch~4643463.html
,L0003157ST,BULB 3157 NAK,,,,,,,Sylvania Lighting,discontinued,,,/parts/mopar-bulb~l0003157st.html
,L000009011,BULB 9011,,,,,,,,discontinued,,,/parts/mopar-bulb~l000009011.html
,L00H355W,BULB Fog Lamp H-3 55 WATT,,,,6,1,,,available,20.75,14.51,/parts/mopar-bulb-fog-lamp~l00h355w.html
,P0009005EB,BULB Headlamp,,,,,,,Sylvania Lighting,discontinued,,,/parts/mopar-bulb-headlamp-eco-bright-9005~p0009005eb.html
,4708012,NUT Wing,,,,4,1,,,discontinued,,,/parts/mopar-nut-wing~4708012.html
,6033526,SCREW .19-16x.75,,,,4,1,,,discontinued,,,/parts/mopar-screw~6033526.html
