ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,SV531DRAC,FASCIA Front,,,29,,,,[DR],discontinued,,,
1,SV531RNAC,FASCIA Front,,,29,,,5014539AB,[RN],available,1080,893.83,/parts/mopar-fascia-frt~sv531rnac.html
1,SV531YRAC,FASCIA Front,,,29,,,,[YR],discontinued,,,/parts/mopar-fascia-frt~sv531yrac.html
2,5015296AA,FASCIA Front Primed,,,,,,,,discontinued,,,/parts/mopar-fascia-front~5015296aa.html
3,4763098,BUMPER Fascia,,,,,,,,discontinued,,,/parts/mopar-bumper-fascia~4763098.html
9,6025335,SCREW,,,,4,1,,,discontinued,,,/parts/mopar-screw~6025335.html
10,6100515,NUT Hex Flange Lock M5,,,,,,,,available,7.55,5.24,/parts/mopar-nut-hex-flange-lock~6100515.html
11,4848613,PANEL Front Facsia,Left,,,,,,,discontinued,,,/parts/mopar-panel-front-facsia~4848613.html
12,6029074,U-NUT .25-20,,,,10,1,,,discontinued,,,/parts/mopar-nut~6029074.html
13,6102086AA,SCREW AND WASHER Hex Head M5x0.80x25.00,,,,10,1,6507167AA,,available,11,7.63,/parts/mopar-screw-hex-head~6102086aa.html
14,6101448,NUT AND WASHER Hex Nut-Coned Washer M10 x 1.5,,,,4,1,,,available,11.3,7.86,/parts/mopar-nut-hex-nut-coned-washer~6101448.html
16,5245443,SHIM Bumper Thin,,,,,,,,discontinued,,,/parts/mopar-shim-bumper~5245443.html
17,5245444,SHIM Bumper Thick,,,,,,,,discontinued,,,/parts/mopar-shim-bumper~5245444.html
19,4709049AB,HANDLE AND CABLE Hood Release,,,,,,,,discontinued,,,/parts/mopar-cable-hood-release~4709049ab.html
20,4709275,PAD Bulkhead Spacer,,,,2,1,,,discontinued,,,/parts/mopar-pad-bulkhead-spacer~4709275.html
,5245075,ADAPTER Bumper Fascia,Left,,,,,,,discontinued,,,/parts/mopar-adapter-bumper-fascia~5245075.html
,4763096,FOAM AND TAPE Fascia,,,,,,,,discontinued,,,/parts/mopar-absorber-fascia~4763096.html
,5245044,FOAM AND TAPE Frt Fascia Grille Opng GT-2,,,,,,,,discontinued,,,/parts/mopar-absorber-frt-fascia-grille-opng~5245044.html
,4708268,FRAME License Plate,,,,,,,,discontinued,,,
,4848829,SCUFFER Fascia Front Chip Tape,Left,,,,,,,available,49.68,39.04,/parts/mopar-applique-fascia-front~4848829.html
,4848448,SEAL Front Fascia To Hood,,,,,,,,discontinued,,,/parts/mopar-seal-front-fascia-to-hood~4848448.html
