ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,6036300AA,BOLT Control Arm Cam,,,,4,1,,,discontinued,,,/parts/mopar-bolt-camber-adjust~6036300aa.html
2,2269232,CAM Front Suspension Control Arm,,,,4,1,,,discontinued,,,/parts/mopar-nut-front-suspension-control-ar~2269232.html
3,152349,NUT Hex .50-20,,,,4,1,,,discontinued,,,/parts/mopar-nut-hex~152349.html
4,6100969,BOLT Hex Flange Head M14x2.00x90,,,,4,1,,,discontinued,,,/parts/mopar-bolt-hex-flange-head~6100969.html
5,6502698,NUT Hex Flange Lock,,,,4,1,,,available,8.95,6.17,/parts/mopar-nut-hex-flange-lock~6502698.html
6,4642056,SHIM Control Arm,,,,4,1,,,discontinued,,,/parts/mopar-spacer-control-arm~4642056.html
7,6036048AA,NUT Hex Lock .562 - 18,,,,4,1,,,discontinued,,,/parts/mopar-nut-hex-lock~6036048aa.html
8,4709292,ARM Control,,,,2,1,,,discontinued,,,/parts/mopar-arm-control~4709292.html
11,52006404,SEAL Ball Joint,,,,,,,,available,43.8,30.41,/parts/mopar-seal-ball-joint~52006404.html
12,6036048AA,NUT Hex Lock .562 - 18,,,,4,1,,,discontinued,,,/parts/mopar-nut-hex-lock~6036048aa.html
14,5264874AA,KNUCKLE Front,Right,,,,,,,discontinued,,,/parts/mopar-knuckle-front~5264874aa.html
15,5083879AA,SHOCK ABSORBER KIT Suspension,,,,2,,,,discontinued,,,
16,4848641,SHOCK ABSORBER Suspension Front,,,,2,1,,,discontinued,,,/parts/mopar-absorber-suspension~4848641.html
17,5264923AA,SPRING Front Suspension Coil,,,,,,,[SDK],discontinued,,,/parts/mopar-spring-front-suspension-coil~5264923aa.html
18,6035641,NUT Hex .625-18,,,,2,1,,,discontinued,,,/parts/mopar-nut-hex~6035641.html
19,120123,PIN Cotter,,,,2,1,,,available,8.1,5.65,/parts/mopar-pin-cotter~120123.html
20,6035670,NUT Hex,,,,4,1,,,discontinued,,,/parts/mopar-nut-hex~6035670.html
22,4404219,RETAINER Stabilizer Bar Grommet,,,,2,1,,,discontinued,,,/parts/mopar-cover-sway-bar~4404219.html
23,4643004,BUSHING Stabilizer Bar,,,,2,1,,,discontinued,,,/parts/mopar-bushing-stabilizer-bar~4643004.html
24,4848105,STABILIZER BAR Front,,,,,,,,discontinued,,,/parts/mopar-bar-frt-susp~4848105.html
25,4763147,LINK Sway Eliminator,,,,2,1,68231477AA,,available,335,240.09,/parts/mopar-link-stabilizer-bar~4763147.html
26,6502556,NUT Hex M10-1.5,,,,2,1,,,available,11.3,7.86,/parts/mopar-nut-hex~6502556.html
27,4709297,ARM Control,,,,,,,Lower Left Complete Assembly,discontinued,,,/parts/mopar-arm-control~4709297.html
28,4848050,BUSHING Control Arm,,,,2,1,,,discontinued,,,/parts/mopar-bushing-control-arm~4848050.html
30,52006404,SEAL Ball Joint,,,,,,,,available,43.8,30.41,/parts/mopar-seal-ball-joint~52006404.html
32,4709299,BRACKET Shock Mounting,Left,,,,,,,available,77,52.43,/parts/mopar-bracket-shock-mounting~4709299.html
34,5264847AB,SPACER Shock Absorber Bushing,,,,8,1,,,discontinued,,,/parts/mopar-spacer-shock-absorber-bushing~5264847ab.html
35,5290073AA,SHOCK ABSORBER Suspension Front,,,29,,,,"Left DSI with Reservoir, without Coil Spring  [SDK]",discontinued,,,
35,5290556AA,SHOCK ABSORBER Suspension Front,,,,,,P5007462,"Right DSI with Reservoir, with Coil Spring  [SDK]",discontinued,,,/parts/mopar-absorber-suspension~5290556aa.html
35,5290916AA,SHOCK ABSORBER Suspension Front,,,29,,,P5007463,"Left DSI with Reservoir, with Coil Spring  [SDK]",discontinued,,,/parts/mopar-absorber-suspension~5290916aa.html
36,5083880AA,SHOCK ABSORBER KIT Suspension,,,,,,,,discontinued,,,
37,6502136,BOLT Hex Flange Head M10x1.50x55,,,,2,1,,,available,14.25,9.96,/parts/mopar-bolt-hex-flange-head~6502136.html
38,5264923AA,SPRING Front Suspension Coil,,,,,,,,discontinued,,,/parts/mopar-spring-front-suspension-coil~5264923aa.html
39,6036253AA,NUT,,,,4,1,,,discontinued,,,/parts/mopar-nut~6036253aa.html
40,6036254AA,SCREW,,,,4,1,,,discontinued,,,/parts/mopar-screw~6036254aa.html
,4848049,BUSHING Control Arm,,,,4,1,,,discontinued,,,/parts/mopar-bushing-control-arm~4848049.html
,6030099,FITTING Ball Joint Zirc,,,,,,83507064AB,,discontinued,,,/parts/mopar-fitting-ball-joint~6030099.html
,4848173,GASKET,,,,,,,,available,4.25,3.67,/parts/mopar-gasket~4848173.html
,6502696,NUT Hex Flange Lock M14x1.50,,,,3,1,,,available,7.2,4.89,/parts/mopar-nut-hex-flange-lock~6502696.html
,3815704,RETAINER Control Arm Bushing,,,,2,1,,,discontinued,,,/parts/mopar-retainer-control-arm-bushing~3815704.html
