ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4626498,RAIL Top,,,,,,,,discontinued,,,/parts/mopar-rail-top~4626498.html
2,4626499,FORK Third and Fourth,,,,,,,,discontinued,,,
3,4626502,PAD Shift Fork,,,,,,,,available,6.45,4.37,/parts/mopar-pad-shift-fork~4626502.html
4,4626505,FORK First and Second,,,,,,,,discontinued,,,/parts/mopar-fork-first-and-second~4626505.html
5,4626502,PAD Shift Fork,,,,,,,,available,6.45,4.37,/parts/mopar-pad-shift-fork~4626502.html
6,4626492,RAIL Reverse Shift,,,,,,,,discontinued,,,
7,4626553,FORK Transmission,,,,,,,,discontinued,,,/parts/mopar-fork-transmission~4626553.html
8,4626496,PAD Shift Fork,,,,,,,,available,7.8,5.3,/parts/mopar-fork-shift-fork~4626496.html
9,4626540,FORK Fifth Shift,,,,,,,,discontinued,,,/parts/mopar-fork-5th-and-6th-shift~4626540.html
10,4626496,PAD Shift Fork,,,,,,,,available,7.8,5.3,/parts/mopar-fork-shift-fork~4626496.html
17,4626506,ARM Gearshift Selector,,,,,,,,available,94.7,63.73,/parts/mopar-housing-gearshift-selector~4626506.html
25,4626526,BALL Check,,,,,,,,discontinued,,,/parts/mopar-ball-check~4626526.html
,4626527,BOLT,,,,,,,,available,5.4,3.67,/parts/mopar-bolt-shift-guide-plate~4626527.html
,4626508,BOLT Shift Lever Guide,,,,,,,,available,4.55,3.58,/parts/mopar-fork-shift-lever-guide~4626508.html
,4626571,BOLT Shifter Cover,,,,,,,,available,6.75,4.66,/parts/mopar-bolt-shifter-cover~4626571.html
,4626512,BUSHING Shift Rail,,,,,,,,available,6.2,4.19,/parts/mopar-bushing-shift-rail~4626512.html
,4626494,COLLAR Reverse Shift,,,,,,,,discontinued,,,
,4626577,HOUSING Shift,,,,,,68211557AA,,available,64.8,55.28,/parts/mopar-housing-gearshift~4626577.html
,4626495,LEVER Fifth and Sixth,,,,,,,,discontinued,,,
,4626528,LEVER First and Fourth,,,,,,,,discontinued,,,
,4626588,LEVER Gearshift,,,,,,,,discontinued,,,/parts/mopar-lever-gearshift~4626588.html
,4761999,LEVER Offset,,,,,,,,discontinued,,,
,4626497,LEVER Reverse,,,,,,,,discontinued,,,
,4626587,O RING Reverse Inhibitor Manual Transmission,,,,,,,,discontinued,,,
,4626578,O RING Shift Detent Housing Transmission,,,,,,,,discontinued,,,
,4626493,PIN Roll,,,,,,,,available,3.95,2.68,/parts/mopar-pin-roll~4626493.html
,4626493,PIN Roll,,,,,,,,available,3.95,2.68,/parts/mopar-pin-roll~4626493.html
,4626493,PIN Roll,,,,,,,,available,3.95,2.68,/parts/mopar-pin-roll~4626493.html
,4626493,PIN Roll,,,,,,,,available,3.95,2.68,/parts/mopar-pin-roll~4626493.html
,4626493,PIN Roll,,,,,,,,available,3.95,2.68,/parts/mopar-pin-roll~4626493.html
,4626503,PLATE Shift,,,,,,,,discontinued,,,/parts/mopar-link-shift~4626503.html
,4626507,PLATE Transmission  Module,,,,,,,,discontinued,,,/parts/mopar-plate-interlock~4626507.html
,4626569,PLATE Transmission Shifter,,,,,,,,discontinued,,,/parts/mopar-plate-transmission-shifter~4626569.html
,4626586,SNAP RING Reverse Inhibitor,,,,,,,,available,4.1,2.8,/parts/mopar-retainer-reverse-inhibitor~4626586.html
,4626561,SNAP RING Shift Fork,,,,,,,,available,5.5,3.79,/parts/mopar-ring-shift-fork~4626561.html
,4626523,SPRING Detent Offset,,,,,,,,discontinued,,,/parts/mopar-spring-detent-offset~4626523.html
