ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4848716,HUB AND BEARING Brake,,,,,,,,available,1020,666.6,/parts/mopar-hub-brake~4848716.html
2,6033702,BOLT D Head .50-20x2.00,,,,6,1,,,discontinued,,,/parts/mopar-stud-hub~6033702.html
3,6035642,SCREW AND WASHER Hex Head Locking .50-20x2.25 Grade 8,,,,4,1,,,discontinued,,,/parts/mopar-screw-hex-head-locking~6035642.html
4,4642353,ROTOR Brake,,,,2,1,,,discontinued,,,/parts/mopar-rotor-brake~4642353.html
5,6500336,PIN Cotter M5x36.00,,,,2,1,,,available,6.75,4.9,/parts/mopar-pin-cotter~6500336.html
6,6502293,WASHER Flat M23x43x4,,,,2,1,,,available,8.15,5.59,/parts/mopar-washer-flat~6502293.html
7,4293167,NUT AND WASHER PACKAGE Front Hub,,,,2,1,4293167AB,,available,25.75,17.94,/parts/mopar-lk-nutpkg~4293167.html
8,6502294,NUT Hex Flange M22x1.25,,,,2,1,,,available,12.4,8.56,/parts/mopar-nut-hex-flange~6502294.html
9,5290021AA,KNUCKLE Rear,Left,,,,,,,discontinued,,,
10,5066483AA,CALIPER Disc Brake Rear,Left,,,,,,,discontinued,,,/parts/mopar-caliper-disc-brake~5066483aa.html
11,6101964,SCREW AND WASHER Hex Head M12x1.75x40,,,,4,1,,,unavailable,,,/parts/mopar-screw-hex-head~6101964.html
12,5066474AA,BLEEDER SCREW Brake,,,,,,,,available,1.2,0.94,/parts/mopar-screw-brake~5066474aa.html
,5066473AA,BOOT AND SEAL Disc Brake,,,,,,,,discontinued,,,/parts/mopar-seal-disc-brake~5066473aa.html
,5066479AA,BRACKET Brake Caliper,,,,,,,,discontinued,,,/parts/mopar-bracket-brake-hose~5066479aa.html
,5066478AA,PAD KIT Rear Disc Brake,,,,,,,,discontinued,,,/parts/mopar-pad-rear-disc-brake~5066478aa.html
,5066476AA,PIN KIT Disc Brake,,,,,,,,available,6.68,5.25,/parts/mopar-pin-kit-disc-brake~5066476aa.html
,5066472AA,PISTON KIT Front Brake,,,,,,,,available,37.32,29.33,/parts/mopar-piston-front-brake~5066472aa.html
,4854414AA,SENSOR Anti-Lock Brakes,,,,2,1,,,discontinued,,,/parts/mopar-sensor-anti-lock-brakes~4854414aa.html
