ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5264884AA,TUBE Brake,,,,,,,,discontinued,,,/parts/mopar-line-brake~5264884aa.html
2,4763155AB,HOSE Front Wheel Disc,Left,,,,,,,discontinued,,,/parts/mopar-line-front-wheel-disc~4763155ab.html
3,5264866AA,TUBE Brake,,,,,,,,discontinued,,,/parts/mopar-line-brake~5264866aa.html
4,5264867AA,TUBE Brake,,,,,,,,discontinued,,,/parts/mopar-line-brake~5264867aa.html
5,5264868AB,TUBE Brake,,,,,,,,discontinued,,,/parts/mopar-line-brake~5264868ab.html
6,5264869AB,TUBE Brake,,,,,,,,available,5.73,4.51,/parts/mopar-line-brake~5264869ab.html
7,5290071AA,CLIP Brake Tube,,,,,,,,available,4.42,3.47,/parts/mopar-retainer-brake-tube~5290071aa.html
9,6502114,WASHER Brake Hose,,,,4,1,,,available,9.2,6.68,/parts/mopar-gasket-brake-hose-to-caliper~6502114.html
10,6503805,BOLT Hex Head M10x1.0x21.75,,,,2,1,,,discontinued,,,/parts/mopar-bolt-hex-head~6503805.html
11,6100575,BOLT AND CONED WASHER Hex Head M8x25x17,,,,4,1,,,available,8.65,6,/parts/mopar-screw-hex-head~6100575.html
12,3404625,CLIP Tube,,,,,,,,discontinued,,,
14,5264859AB,CLIP Fuel Bundle,,,,5,1,,,discontinued,,,/parts/mopar-clip-fuel-bundle~5264859ab.html
15,1141472,TEE Brake Tube,,,,,,,,discontinued,,,/parts/mopar-connector-brake-tube~1141472.html
16,4763679AB,TUBE Brake Rear,,,,,,,,discontinued,,,/parts/mopar-line-brake~4763679ab.html
17,5290069AB,HOSE Brake Rear,Left,,,,,,,discontinued,,,/parts/mopar-line-brake~5290069ab.html
19,4683653,CLIP Tube,,,,2,1,,,available,6.2,2.21,/parts/mopar-retainer-tube~4683653.html
20,4763678AB,TUBE Brake Rear,,,,,,,,discontinued,,,/parts/mopar-line-brake~4763678ab.html
22,5016566AA,HYDRAULIC CONTROL UNIT Anti-Lock Brake System,,,,,,,,discontinued,,,/parts/mopar-modulator-anti-lock-brake-system~5016566aa.html
23,5017905AA,MODULE Anti-Lock Brake System,,,,,,,,discontinued,,,/parts/mopar-module-anti-lock-brake-system~5017905aa.html
,4854414AA,SENSOR Anti-Lock Brakes,,,,2,1,,,discontinued,,,/parts/mopar-sensor-anti-lock-brakes~4854414aa.html
