ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
2,4865820AD,PROP Gas,,,,2,1,,,discontinued,,,/parts/mopar-prop-gas-gas~4865820ad.html
3,6101444,NUT AND WASHER Hex M6x1.0,,,,4,1,34201358,,available,13.9,9.67,/parts/mopar-nut-a-c-suct-hose-clamp~6101444.html
4,4865639AB,HINGE Hood,Left,,,,,,,discontinued,,,/parts/mopar-hinge-hood~4865639ab.html
6,5029272AA,HOOD,,,,,,,,discontinued,,,
8,4865815AA,RELEASE Hood Latch,,,,,,,,discontinued,,,/parts/mopar-cable-hood-latch~4865815aa.html
9,6101949,SCREW,,,,2,1,,,discontinued,,,/parts/mopar-screw~6101949.html
10,5008628AA,BUMPER Deck Lid,,,,2,1,,,available,11.7,10.15,/parts/mopar-stop-bmpr~5008628aa.html
11,5029179AA,BUMPER Hood,,,,2,1,,,available,8.75,7.57,/parts/mopar-stop-bmpr-hood~5029179aa.html
12,4865827AB,LATCH Hood,,,,,,,,discontinued,,,/parts/mopar-latch-hood~4865827ab.html
13,6507213AA,BALL STUD,,,,,,,,available,11.05,8.91,/parts/mopar-ball-stud~6507213aa.html
,6501400,SCREW Flange Head M10x1.5x65,,,,4,1,,,available,11.17,8.78,/parts/mopar-bolt~6501400.html
