ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
5,J4005149,DOWEL Oil Pump,,,,4,1,,,available,15.7,10.83,/parts/mopar-pin~j4005149.html
9,6034166,PLUG Cylinder Block Oil Hole,,,,8,1,,,discontinued,,,/parts/mopar-plug-cylinder-block-oil-hole~6034166.html
10,4429678,PIN Dowel,,,,2,1,,,available,50.95,35.42,/parts/mopar-dowel-pin~4429678.html
11,6035469,STUD .562-12x5.670,,,,8,1,,,discontinued,,,/parts/mopar-stud~6035469.html
13,4663941,PLUG Core 1.00 Diameter,,,,2,1,4663941AB,,available,7.05,4.78,/parts/mopar-plug-core~4663941.html
,5102003AA,BLOCK Short,,,,,,,,discontinued,,,
,6035665,BOLT Bearing Cap,,,,4,1,,[.500-13X4.25],available,12.5,9.83,/parts/mopar-bolt~6035665.html
,5245055,DOWEL Front Cover,,,,2,1,,,available,,14.51,/parts/mopar-dowel-pin~5245055.html
,5245058,DOWEL Rear Oil Seal Retainer,,,,4,1,,,discontinued,,,/parts/mopar-dowel-pin~5245058.html
,R8236661AA,ENGINE Long Block,,,,,,,,discontinued,,,/parts/mopar-engine-long-block~r8236661aa.html
,5086535AC,GASKET PACKAGE Engine Lower,,,,,,,,discontinued,,,/parts/mopar-gskt-pkg-engine-lower~5086535ac.html
,6036308AA,PLUG,,,,10,1,,,available,4.7,3.2,/parts/mopar-plug-pipe~6036308aa.html
