ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5037217AA,GASKET Intake Manifold,,,,2,1,,,discontinued,,,/parts/mopar-gasket-intake-manifold~5037217aa.html
2,6036495AA,SCREW Hex Flange Head .25-20x1.00,,,,20,1,,,discontinued,,,/parts/mopar-screw-hex-flange-head~6036495aa.html
3,5037192AC,MANIFOLD Intake,,,,,,,,discontinued,,,
4,5037195AA,GASKET Exhaust Manifold,,,,2,1,5037195AC,,discontinued,,,/parts/mopar-manifold-exhaust-manifold~5037195aa.html
5,5037284AA,SHIELD Exhaust Manifold,,,,,,,,discontinued,,,/parts/mopar-shield-exhaust-manifold~5037284aa.html
6,5037197AC,MANIFOLD Exhaust,Left,,,,,5037197AD,,discontinued,,,/parts/mopar-manifold-exhaust~5037197ac.html
7,6034595,WASHER Coned .340 x .750 x .180,,,,20,1,,,available,8.3,5.78,/parts/mopar-washer-conical~6034595.html
8,6036066AA,STUD,,,,6,1,,,available,10.34,8.12,/parts/mopar-stud~6036066aa.html
9,5037245AA,SHIELD Exhaust Manifold,,,,,,5037245AC,,available,329,150.11,/parts/mopar-shield-exhaust-manifold~5037245aa.html
10,6034856,NUT AND WASHER Hex Nut-E Teeth Washer .312-24,,,,6,1,,,available,15.34,12.05,/parts/mopar-nut~6034856.html
11,154881AA,BOLT Hex Head,,,,14,1,,,available,25.19,19.49,/parts/mopar-bolt~154881aa.html
