ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5037344AA,THERMOSTAT 185 Degrees,,,,,,,,available,558,380.76,/parts/mopar-thrmostat~5037344aa.html
2,5037173AA,GASKET Thermostat,,,,,,,,available,39.7,27.61,/parts/mopar-gasket-thermostat~5037173aa.html
3,5037174AD,HOUSING Thermostat,,,,,,5045558AA,,available,582,381.7,/parts/mopar-housing-thermostat~5037174ad.html
5,5264985AA,HOSE Radiator Inlet,,,,,,,,available,59.35,50.27,/parts/mopar-hose-radiator-inlet~5264985aa.html
6,52006750,CLAMP Radiator,,,,2,1,55111033AA,,available,9.1,6.35,/parts/mopar-clamp-radiator~52006750.html
7,6101308,NUT U M6x1.00,,,,2,1,,,available,6.2,4.19,/parts/mopar-nut-u~6101308.html
8,5264986AB,HOSE Radiator Outlet,,,,,,5264986AF,,available,197,131.63,/parts/mopar-hose-radiator-outlet~5264986ab.html
9,5264994AC,RADIATOR Engine Cooling,,,,,,,,discontinued,,,/parts/mopar-radiator-engine-cooling~5264994ac.html
13,4809071,ISOLATOR Radiator Lower,,,,2,1,4809071AB,,available,9.9,8.91,/parts/mopar-isolator-radiator~4809071.html
14,52027827,ISOLATOR Radiator Upper,,,,2,1,,,available,18.7,13.05,/parts/mopar-isolator-radiator~52027827.html
15,5290099AB,FAN MODULE Radiator Cooling,,,,,,,,discontinued,,,/parts/mopar-module-radiator-cooling~5290099ab.html
16,5290176AA,WIRING Fan Motor,,,,,,,,available,48.2,40.74,/parts/mopar-wiring-fan-motor~5290176aa.html
,52079929AB,CLIP Line,,,,,,,,available,6.45,2.99,/parts/mopar-clip-line~52079929ab.html
,5290177AA,CLIP Power Steering Return Hose,,,,,,,,available,5.35,1.98,/parts/mopar-clip-power-steering-return-hose~5290177aa.html
,52029087AA,DRAINCOCK Radiator,,,,,,,,discontinued,,,/parts/mopar-draincock-radiator~52029087aa.html
,5290670AB,SEAL Radiator Upper,,,,,,,,available,54,47.74,/parts/mopar-seal-radiator-upper~5290670ab.html
,153355,U-NUT .25-20,,,,2,1,,,available,4.8,3.32,/parts/mopar-nut~153355.html
,6504118,U-NUT M6 x 1.00 M6x1.00 Radiator attaching,,,,8,1,,,available,14.4,10.02,/parts/mopar-nut-m6-x-1-00~6504118.html
