ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5037047AA,CAP Oil Pressure Relief Valve,,,,,,,,discontinued,,,/parts/mopar-cap-oil-pressure-relief-valve~5037047aa.html
2,5037046AB,SPRING Oil Pressure Relief Valve,,,,,,,,unavailable,,,/parts/mopar-spring-oil-pressure-relief-valve~5037046ab.html
3,5037045AB,PLUNGER Oil Pressure Relief Valve,,,,,,5037045AC,,discontinued,,,/parts/mopar-plunger-oil-pressure-relief-valve~5037045ab.html
4,5037036AG,COVER Timing Case,,,,,,5037036AM,,discontinued,,,/parts/mopar-cover-timing-case~5037036ag.html
5,5245525AC,ROTOR SET Oil Pump,,,,,,,,discontinued,,,/parts/mopar-rotor-oil-pump~5245525ac.html
6,5037048AC,COVER Engine Oil Pump,,,,,,,,discontinued,,,/parts/mopar-cover-engine-oil-pump~5037048ac.html
7,6034475,SCREW Torx Head .25-20x.75,,,,8,1,,,discontinued,,,/parts/mopar-bolt~6034475.html
8,5037214AE,INDICATOR Engine Oil Level,,,,,,,,discontinued,,,/parts/mopar-indicator-engine-oil-level~5037214ae.html
9,5037215AE,TUBE Engine Oil Indicator,,,,,,,,discontinued,,,/parts/mopar-tube-engine-oil-indicator~5037215ae.html
10,5037312AE,PICKUP Engine Oil,,,,,,,,discontinued,,,/parts/mopar-tube-engine-oil~5037312ae.html
11,6035666,SCREW Hex Flange Head .25-20x1.00,,,,,,154777,,available,14.2,9.9,/parts/mopar-bolt~6035666.html
12,152472,NUT Hex Flange Lock .312-18,,,,7,1,,,available,9.2,6.41,/parts/mopar-nut-hex-flange-lock~152472.html
13,6032920,SEAL Oil Pick Up Tube,,,,,,,,available,10.85,7.51,/parts/mopar-seal-oil-pick-up-tube~6032920.html
14,5037836AA,FILTER Engine Oil,,,,,,5037836AB,,available,26,17.03,/parts/mopar-filter-engine-oil~5037836aa.html
15,4104511AB,CONNECTOR Oil Filter Adapter,,,,,,,,available,16.45,11.36,/parts/mopar-connector-oil-filter~4104511ab.html
16,5037316AC,CONNECTOR Engine Oil Cooler,,,,,,5037316AD,,available,16.35,11.3,/parts/mopar-connector-male~5037316ac.html
17,5037163AC,GASKET Oil Pan,,,,,,5037163AF,,available,88.45,59.51,/parts/mopar-gasket-oil-pan~5037163ac.html
18,5037159AE,PAN Engine Oil,,,,,,5037159AI,,available,1440,969.54,/parts/mopar-pan-engine-oil~5037159ae.html
19,154934AA,SCREW AND WASHER,,,,5,1,,,discontinued,,,/parts/mopar-bolt~154934aa.html
20,6035417,PLUG Oil Drain,,,,,,,,available,16.2,11.18,/parts/mopar-plug-oil-drain~6035417.html
21,5037158AD,TRAY Windage,,,,,,,,discontinued,,,/parts/mopar-tray-windage~5037158ad.html
22,152472,NUT Hex Flange Lock .312-18,,,,6,1,,,available,9.2,6.41,/parts/mopar-nut-hex-flange-lock~152472.html
,154777,SCREW AND WASHER Hex Head .25-20x1.00,,,,8,1,,,available,14.2,7.13,/parts/mopar-bolt~154777.html
