ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5290890AE,"PEDAL ASSEMBLY Adjustable Brake, Clutch and Accelerator",,,,,,5290890AG,,available,2000,1339.05,/parts/mopar-pedal-brake-clutch-and-accelera~5290890ae.html
4,6101446,NUT AND WASHER,,,,2,1,,,available,9.35,6.52,/parts/mopar-nut-hex~6101446.html
5,J4003909,NUT Hex Flange With Serration,,,,4,1,,,discontinued,,,/parts/mopar-nut-hex-flange-with-serration~j4003909.html
7,5029211AB,BRACKET Wiring Harness,,,,,,,After 5/30/03,discontinued,,,/parts/mopar-bracket-wiring-harness~5029211ab.html
8,4294036,CLIP,,,,,,4581512AA,,available,2.45,1.69,/parts/mopar-clip-master-cylinder-push-rod-pi~4294036.html
9,6101447,NUT,,,,2,1,,,available,8.55,5.94,/parts/mopar-nut~6101447.html
10,5029206AB,BRACKET Stop Lamp Switch,,,,,,,,discontinued,,,/parts/mopar-bracket-stop-lamp-switch~5029206ab.html
11,5083344AA,SWITCH PACKAGE Stop Lamp,,,,,,5083344AB,,available,39,29.99,/parts/mopar-sw-pkg-stop-lamp~5083344aa.html
13,5037288AB,CABLE Accelerator,,,,,,5037288AD,,discontinued,,,/parts/mopar-cable-accelerator~5037288ab.html
15,4287736,RETAINER Throttle Cable,,,,,,,,discontinued,,,/parts/mopar-retainer-throttle-cable~4287736.html
16,5102047AA,PAD Accelerator Pedal,,,,,,,,discontinued,,,/parts/mopar-pad-accelerator-pedal~5102047aa.html
,5037285AD,BRACKET Accelerator Cable,,,,,,,,discontinued,,,
,4306150,ISOLATOR Throttle Cable,,,,,,,,available,6.2,4.87,/parts/mopar-isolator-throttle-cable~4306150.html
,56042387,SWITCH Console,,,,,,,,available,26.95,18.64,/parts/mopar-switch-adjustable-pedals~56042387.html
