ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5290040AE,SHOCK ABSORBER Suspension Rear,,,,2,1,5181434AC,,available,1970,1333.4,/parts/mopar-absorber-suspension~5290040ae.html
2,5290263AA,SPRING Rear Coil,,,,2,1,5181440AB,,available,441,367.95,/parts/mopar-spring-rear-coil~5290263aa.html
3,5290128AB,BRACKET Suspension,,,,2,1,,,discontinued,,,/parts/mopar-bracket-suspension~5290128ab.html
5,6102081AA,SCREW Hex Flange Head M14x2.00x140.00,,,,2,1,,,available,39.45,27.55,/parts/mopar-screw-hex-flange-head~6102081aa.html
6,6502698,NUT Hex Flange Lock,,,,2,1,,,available,8.95,6.17,/parts/mopar-nut-hex-flange-lock~6502698.html
7,6504189,SCREW,,,,2,1,,,available,14.75,10.19,/parts/mopar-bolt~6504189.html
8,5134994AA,KNUCKLE Rear,Right,,,,,,,discontinued,,,/parts/mopar-knuckle-rear~5134994aa.html
13,4848716,HUB AND BEARING Brake,,,,,,,,available,1020,666.6,/parts/mopar-hub-brake~4848716.html
16,6502293,WASHER Flat M23x43x4,,,,2,1,,,available,8.15,5.59,/parts/mopar-washer-flat~6502293.html
17,6502294,NUT Hex Flange M22x1.25,,,,2,1,,,available,12.4,8.56,/parts/mopar-nut-hex-flange~6502294.html
18,4293167,NUT AND WASHER PACKAGE,,,,2,1,4293167AB,,available,25.75,17.94,/parts/mopar-lk-nutpkg~4293167.html
19,6500336,PIN Cotter M5x36.00,,,,2,1,,,available,6.75,4.9,/parts/mopar-pin-cotter~6500336.html
20,5290117AA,ARM Control,,,,2,1,5290117AE,,discontinued,,,/parts/mopar-arm-control~5290117aa.html
21,52006404,SEAL Ball Joint,,,,,,,,available,43.8,30.41,/parts/mopar-seal-ball-joint~52006404.html
22,6030099,FITTING Ball Joint Zirc,,,,,,83507064AB,,discontinued,,,/parts/mopar-fitting-ball-joint~6030099.html
23,6035641,NUT Hex .625-18,,,,2,1,,,discontinued,,,/parts/mopar-nut-hex~6035641.html
24,120123,PIN Cotter,,,,2,1,,,available,8.1,5.65,/parts/mopar-pin-cotter~120123.html
25,6502046,BOLT Suspension Upper Arm,,,,2,1,,,available,7.7,6.35,/parts/mopar-bolt-suspension-upper-arm~6502046.html
