ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,WN73BWAAB,DECAL Viper,,,,,,,[KEW],discontinued,,,/parts/mopar-decal-viper~wn73bwaab.html
1,WN73CVRAB,DECAL Viper,,,,,,,[KEG],available,66.95,61.64,/parts/mopar-decal-viper~wn73cvrab.html
1,WN73PX3AB,DECAL Viper,,,,,,,[KEX],discontinued,,,/parts/mopar-decal-viper~wn73px3ab.html
1,WN73WRRAB,DECAL Viper,,,,,,WN73WRRAC,[KER],available,72.3,58.37,/parts/mopar-decal-viper~wn73wrrab.html
1,WN73WYTAB,DECAL Viper,,,,,,,[KEE],discontinued,,,/parts/mopar-decal-viper~wn73wytab.html
2,WN80BWAAA,DECAL Dodge,,,,,,,[KSW],discontinued,,,/parts/mopar-decal~wn80bwaaa.html
2,WN80CVRAA,DECAL Dodge,,,,,,,[KSG],discontinued,,,/parts/mopar-decal~wn80cvraa.html
2,WN80PX3AA,DECAL Dodge,,,,,,,[KSX],discontinued,,,/parts/mopar-decal~wn80px3aa.html
2,WN80WRRAA,DECAL Dodge,,,,,,,[KSR],discontinued,,,/parts/mopar-decal~wn80wrraa.html
2,WN80WYTAA,DECAL Dodge,,,,,,,[KSE],discontinued,,,/parts/mopar-decal~wn80wytaa.html
3,WN811ARAB,DECAL Viper SRT-10,,,,2,1,,[KDR] Mamba Edition [ASA],discontinued,,,/parts/mopar-decal-viper~wn811arab.html
3,WN81BWAAB,DECAL Viper SRT-10,,,,2,1,,[KDW],discontinued,,,/parts/mopar-decal-viper~wn81bwaab.html
3,WN81CVRAB,DECAL Viper SRT-10,,,,2,1,,[KSG],discontinued,,,/parts/mopar-decal-viper~wn81cvrab.html
3,WN81PX3AB,DECAL Viper SRT-10,,,,2,1,,[KDX],discontinued,,,/parts/mopar-decal-viper~wn81px3ab.html
3,WN81WRRAB,DECAL Viper SRT-10,,,,2,1,,[KDR],discontinued,,,/parts/mopar-decal-viper~wn81wrrab.html
3,WN81WYTAB,DECAL Viper SRT-10,,,,2,1,,[KDE],discontinued,,,/parts/mopar-decal-viper~wn81wytab.html
3,WN81XZAAB,DECAL Viper SRT-10,,,,2,1,,[KDS],discontinued,,,/parts/mopar-decal-viper~wn81xzaab.html
