ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5290145AD,CAP Fuel Filler,,,,,,5290145AE,After 04/27/04,discontinued,,,/parts/mopar-cap-fuel-filler~5290145ad.html
3,4865738AB,DOOR Fuel Fill,,,,,,,,discontinued,,,/parts/mopar-door-fuel-fuel-fill~4865738ab.html
4,6504791,"SCREW TAPPING, BUTTON HEAD M6 X 1.00 X 18.00",,,,2,1,,,discontinued,,,/parts/mopar-screw-tapping-button-head~6504791.html
5,6036491AA,NUT Spring U Type For .164-18 Screw,,,,4,1,,,discontinued,,,/parts/mopar-nut-spring-u-type~6036491aa.html
6,5290917AC,TUBE Fuel Filler,,,,,,5290917AE,,available,111,89.96,/parts/mopar-tube-fuel-filler~5290917ac.html
8,4865906AB,HOUSING Fuel Filler,,,,,,,,discontinued,,,/parts/mopar-housing-fuel-filler~4865906ab.html
9,5029238AA,BUMPER Fuel Door,,,,2,1,,,discontinued,,,/parts/mopar-bumper-rubber~5029238aa.html
,6502720,NUT Hex Flange Lock M8x1.25,,,,,,,,available,7.55,5.24,/parts/mopar-nut-hex-flange-lock~6502720.html
,153634,SCREW,,,,3,1,,,available,3.9,2.68,/parts/mopar-screw-round-washer-head-tapping~153634.html
,6035556,SCREW Pan Head Tapping .19-16x.625,,,,2,1,,,discontinued,,,/parts/mopar-screw-pan-head-tapping~6035556.html
