ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5GC71DX9AA,FASTENER Push Pin,,,,6,1,,,available,3.45,2.62,/parts/mopar-pin~5gc71dx9aa.html
2,XC871XRAB,PANEL Door Trim Front,,,,,,XC871XRAC,Left [XR],available,910,775.2,/parts/mopar-panel-door-trim-front~xc871xrab.html
2,XC921X9AB,PANEL Door Trim Front,,,,,,XC921X9AC,Right [X9],discontinued,,,/parts/mopar-panel-door-trim-front~xc921x9ab.html
2,XC921XRAB,PANEL Door Trim Front,,,,,,XC921XRAC,Right [XR],available,836,714.78,/parts/mopar-panel-door-trim-front~xc921xrab.html
3,LE82RX9,CAP Pull Cup Screw Cover,,,,2,1,,,discontinued,,,/parts/mopar-cap-end-pull-cup-screw-cover~le82rx9.html
4,5096019AB,HANDLE,Left,,,,,,,available,217,175.5,/parts/mopar-handle~5096019ab.html
5,UA37SZ6AA,APPLIQUE Door,,,,,,,Left Grab Handle,available,187,118.13,/parts/mopar-applique-front-door~ua37sz6aa.html
6,6036430AA,SCREW,,,,2,1,,,discontinued,,,/parts/mopar-screw~6036430aa.html
8,153754,SCREW .190-16x1.00,,,,14,1,,,discontinued,,,/parts/mopar-screw~153754.html
,5083940AA,BRACKET Speaker,,,,,,,,discontinued,,,/parts/mopar-speaker-speaker~5083940aa.html
