ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,XD051X9AA,SEAT BACK Front,,,,,,,Right & Left [X9],available,625,427.5,/parts/mopar-seat-back-front~xd051x9aa.html
1,XD051XRAA,SEAT BACK Front,,,,,,,Right & Left [XR],discontinued,,,/parts/mopar-seat-back-front~xd051xraa.html
1,XD051Y3AA,SEAT BACK Front,,,,,,,Right & Left [X9],discontinued,,,/parts/mopar-seat-back-front~xd051y3aa.html
2,XD011X9AA,CUSHION Front Seat,,,,,,,Left [X9],discontinued,,,/parts/mopar-seat-cush-front-seat~xd011x9aa.html
2,XD011XRAA,CUSHION Front Seat,,,,,,,Left [XR],discontinued,,,/parts/mopar-seat-cush-front-seat~xd011xraa.html
2,XD011Y3AA,CUSHION Front Seat,,,,,,,Left [X9],discontinued,,,/parts/mopar-seat-cush-front-seat~xd011y3aa.html
2,XD021V5AA,CUSHION Front Seat,,,,,,,Right [X9],discontinued,,,/parts/mopar-seat-cush-front-seat~xd021v5aa.html
2,XD021X9AA,CUSHION Front Seat,,,,,,,Right [X9],discontinued,,,/parts/mopar-seat-cush-front-seat~xd021x9aa.html
2,XD021XRAA,CUSHION Front Seat,,,,,,,Right [XR],discontinued,,,/parts/mopar-seat-cush-front-seat~xd021xraa.html
2,XD021Y3AA,CUSHION Front Seat,,,,,,,Right [X9],discontinued,,,/parts/mopar-seat-cush-front-seat~xd021y3aa.html
3,6101761,NUT Coned Washer M10 x 1.50,,,,4,1,,,available,12.1,8.39,/parts/mopar-nut-coned-washer~6101761.html
4,6503675,SCREW AND WASHER Hex Head M10x1.5x40,,,,4,1,,,available,11.35,8.91,/parts/mopar-screw-hex-head~6503675.html
5,5018530AA,HANDLE FOLD FLAT,,,,,,,,discontinued,,,/parts/mopar-handle-fold-flat~5018530aa.html
6,5018529AA,HANDLE Recliner,,,,,,,,discontinued,,,/parts/mopar-handle-recliner~5018529aa.html
7,5093210AA,TOWEL BAR Seat Adjuster Handle,,,,,,,,available,54.05,22.6,/parts/mopar-towel-bar-seat-adjuster-handle~5093210aa.html
8,5093213AA,RECLINER Seat Back,,,,,,,Right Inboard,available,240,146.8,/parts/mopar-recliner-seat-back~5093213aa.html
8,5093214AA,RECLINER Seat Back,,,,,,,Left Inboard,available,197,170.29,/parts/mopar-recliner-seat-back~5093214aa.html
8,5093215AA,RECLINER Seat Back,,,,,,,Left Outboard,discontinued,,,/parts/mopar-recliner-seat-back~5093215aa.html
9,5136013AA,TRACK ASSY TRACK ASSY-LH,,,,,,,,available,567,556.71,/parts/mopar-track-track-assy-lh~5136013aa.html
10,5136014AA,TRACK ASSY TRACK ASSY-RH,,,,,,,,available,209,98.24,/parts/mopar-track-track-assy-rh~5136014aa.html
