ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4865616AB,GLASS Door With Liftplate,Right,,27,,,,,available,359,288.79,/parts/mopar-glass-front-door~4865616ab.html
1,5030094AA,GLASS Door With Liftplate,Right,,29,,,5030094AC,,available,310,253.8,/parts/mopar-glass-door~5030094aa.html
1,5030095AA,GLASS Door With Liftplate,Left,,29,,,5030095AC,,available,371,297.71,/parts/mopar-glass-door~5030095aa.html
2,4512685,BUSHING Door Glass Liftplate to Glass,,,,2,1,,,available,8.05,5.96,/parts/mopar-bushing-door-glass~4512685.html
3,4512684,RETAINER Glass to Liftplate,,,,2,1,,,discontinued,,,/parts/mopar-retainer-glass-to-liftplate~4512684.html
4,6504791,"SCREW TAPPING, BUTTON HEAD M6 X 1.00 X 18.00",,,,2,1,,,discontinued,,,/parts/mopar-screw-tapping-button-head~6504791.html
5,6101694,NUT M6x1.00,,,,10,1,,,available,9.35,6.52,/parts/mopar-nut~6101694.html
6,4865611AD,REGULATOR Front Door Window,Left,,,,,4865611AI,,available,1175,770,/parts/mopar-regulator-front-door-window~4865611ad.html
7,5029626AA,REINFORCEMENT Window Regulator,,,,,,,,available,0.8,0.52,/parts/mopar-reinfmnt-window-regulator~5029626aa.html
,4396294,STABILIZER Door Glass,,,,2,1,,,discontinued,,,/parts/mopar-bracket-door-glass~4396294.html
,4658734AC,"STABILIZER Door Glass Belt Includes item #9, Bracket, Rivet",,,,2,1,,,discontinued,,,/parts/mopar-stable-door-glass-belt~4658734ac.html
