ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,6102101AA,NUT AND WASHER Hex M5x0.80,,,,6,1,6508886AA,,available,,14.51,/parts/mopar-nut-hex~6102101aa.html
2,TR36DAPAD,MIRROR Outside Rearview,,,27,,,TR36TZZAD,Right [AP],available,612,513,/parts/mopar-mirror-outside-rearview~tr36dapad.html
2,TR36LRNAD,MIRROR Outside Rearview,,,,,,TR36TZZAD,Right [RN],available,612,513,/parts/mopar-mirror-outside-rearview~tr36lrnad.html
2,TR36MX3AD,MIRROR Outside Rearview,,,,,,TR36TZZAD,Right [X3],available,612,513,/parts/mopar-mirror-outside-rearview~tr36mx3ad.html
2,TR36SBEAD,MIRROR Outside Rearview,,,,,,TR36TZZAD,Right [BE],available,612,513,/parts/mopar-mirror-outside-rearview~tr36sbead.html
2,TR36VA9AD,MIRROR Outside Rearview,,,27,,,TR36TZZAD,Right [A9],available,612,513,/parts/mopar-mirror-outside-rearview~tr36va9ad.html
2,TR36WYRAD,MIRROR Outside Rearview,,,27,,,TR36TZZAD,Right [YR],available,612,513,/parts/mopar-mirror-outside-rearview~tr36wyrad.html
2,TR37CVRAD,MIRROR Outside Rearview,,,27,,,TR37TZZAD,Left [VR],available,592,497.04,/parts/mopar-mirror-outside-rearview~tr37cvrad.html
2,TR37DAPAD,MIRROR Outside Rearview,,,27,,,TR37TZZAD,Left [AP],available,592,497.04,/parts/mopar-mirror-outside-rearview~tr37dapad.html
2,TR37LRNAD,MIRROR Outside Rearview,,,,,,TR37TZZAD,Left [RN],available,592,497.04,/parts/mopar-mirror-outside-rearview~tr37lrnad.html
2,TR37MX3AD,MIRROR Outside Rearview,,,,,,TR37TZZAD,Left [X3],available,592,497.04,/parts/mopar-mirror-outside-rearview~tr37mx3ad.html
2,TR37SBEAD,MIRROR Outside Rearview,,,,,,TR37TZZAD,Left [BE],available,592,497.04,/parts/mopar-mirror-outside-rearview~tr37sbead.html
2,TR37VA9AD,MIRROR Outside Rearview,,,27,,,TR37TZZAD,Left [A9],available,592,497.04,/parts/mopar-mirror-outside-rearview~tr37va9ad.html
2,TR37WYRAD,MIRROR Outside Rearview,,,,,,TR37TZZAD,Left [YR],available,592,497.04,/parts/mopar-mirror-outside-rearview~tr37wyrad.html
