ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4865574AB,RETAINER Weatherstrip,,,,,,,,available,41,34.95,/parts/mopar-retainer-weatherstrip~4865574ab.html
2,4865577AB,RETAINER Weatherstrip,Left,,27,,,4865577AC,,available,46.75,39.55,/parts/mopar-retainer-weatherstrip~4865577ab.html
2,5030176AA,RETAINER Weatherstrip,Right,,29,,,5030176AB,,available,58,50.1,/parts/mopar-retainer-weatherstrip~5030176aa.html
2,5030177AA,RETAINER Weatherstrip,Left,,29,,,5030177AB,,available,58,50.1,/parts/mopar-retainer-weatherstrip~5030177aa.html
3,6505026AA,SCREW M5x16,,,,5,1,,Windshield Retainer,available,8.6,6,/parts/mopar-screw-pan-head~6505026aa.html
4,4865563AF,WEATHERSTRIP Front Door Opening,Left,,27,,,4865563AG,,discontinued,,,/parts/mopar-w-strip-front-door-opening~4865563af.html
4,5030096AB,WEATHERSTRIP Front Door Opening,Right,,29,,,5030096AF,,available,361,293.28,/parts/mopar-w-strip-front-door-opening~5030096ab.html
4,5030097AB,WEATHERSTRIP Front Door Opening,Left,,29,,,5030097AF,,available,380,309.07,/parts/mopar-w-strip-front-door-opening~5030097ab.html
6,4865561AG,WEATHERSTRIP Header and A pillar,,,,,,,,discontinued,,,/parts/mopar-w-strip-header-and-a-pillar~4865561ag.html
7,4658673,PIN PUSH .150x.410,,,,2,1,,,available,8.55,5.94,/parts/mopar-pin~4658673.html
