ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,153754,SCREW .190-16x1.00,,,,2,1,,,discontinued,,,/parts/mopar-screw~153754.html
2,TS04DX9AB,PANEL Bulkhead Trim,,,,,,,"Includes Screws, Grilles, and Panel",available,3800,3135,/parts/mopar-panel-bulkhead-trim~ts04dx9ab.html
6,TS39DX9AB,SPORT HOOP Bulkhead,Left,,,,,,,discontinued,,,/parts/mopar-hoop-bulkhead~ts39dx9ab.html
7,6031869,NUT Push .19,,,,2,1,,,discontinued,,,/parts/mopar-grommet-push~6031869.html
8,5029072AB,PANEL Bulkhead Trim,,,,,,,,available,1435,1182.5,/parts/mopar-panel-bulkhead-trim~5029072ab.html
10,6101722,SCREW AND WASHER Hex Head M8x1.25x60,,,,4,1,,,available,6.8,4.72,/parts/mopar-bolt-hex-head~6101722.html
11,6102103AA,SCREW AND WASHER Hex Head M6x1x20,,,,4,1,,,discontinued,,,/parts/mopar-screw-hex-head~6102103aa.html
12,6032058,NUT Snap In,,,,4,1,,,discontinued,,,/parts/mopar-nut-snap-in~6032058.html
13,152493,NUT,,,,2,1,,,available,3.55,2.45,/parts/mopar-nut~152493.html
,5096017AA,PANEL Bulkhead Panel Only,,,,,,,,available,2380,1963.5,/parts/mopar-panel-bulkhead~5096017aa.html
,5096016AB,PANEL Bulkhead Support Panel Only,,,,,,,,available,820,676.5,/parts/mopar-panel-bulkhead-support~5096016ab.html
,5093847AA,SCREW,,,,,,,,discontinued,,,/parts/mopar-screw~5093847aa.html
