ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,68035612AA,LIFTGATE,,,,,,68035612AC,,available,4935,4175.35,/parts/mopar-liftgate~68035612aa.html
2,5030041AE,GLASS Liftgate,,,,,,5030041AF,,available,1070,704,/parts/mopar-backlite-liftgate~5030041ae.html
3,5030118AB,HINGE Liftgate,,,,2,1,,,discontinued,,,/parts/mopar-hinge-liftgate~5030118ab.html
4,5030099AC,PROP Liftgate,,,,2,1,,Without [MXN],available,34.65,22.97,/parts/mopar-prop-gas-liftgate~5030099ac.html
5,5030174AB,BALL STUD Liftgate Mounted,,,,2,1,,,available,2.8,2.45,/parts/mopar-ball-stud-liftgate-mounted~5030174ab.html
6,5030676AB,WEATHERSTRIP Liftgate,,,,,,,,discontinued,,,/parts/mopar-w-strip-liftgate~5030676ab.html
7,1BY68DX9AD,COVER Liftgate Trim,,,,,,,,available,48.2,40.25,/parts/mopar-cover-liftgate-trim~1by68dx9ad.html
8,68035500AA,LATCH Liftgate,,,,,,,,available,582,489.06,/parts/mopar-latch-liftgate~68035500aa.html
9,5030107AB,LAMP High Mounted Stop,,,,,,,,discontinued,,,/parts/mopar-lamp-high-mounted-stop~5030107ab.html
10,4642929AB,LAMP License Plate,,,,3,1,,,discontinued,,,/parts/mopar-lamp-license-plate~4642929ab.html
11,5029232AA,BUMPER Deck Lid Overslam Rear,,,,2,1,,,discontinued,,,/parts/mopar-stop-bmpr-deck-lid-overslam~5029232aa.html
14,5008628AA,BUMPER Front,,,,2,1,,,available,11.7,10.15,/parts/mopar-stop-bmpr~5008628aa.html
,4865778AA,BRACKET Deck Lid Striker Mounting,,,,,,,,discontinued,,,/parts/mopar-bracket-deck-lid-striker-mounting~4865778aa.html
,5029623AA,PLATE Decklid Stabilizer,,,,2,,,,discontinued,,,
