ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5093291AA,PAD KIT Disc Brake,,,,,,5093291AB,,available,301,242.52,/parts/mopar-pad-disc-brake~5093291aa.html
2,5093295AA,PISTON KIT Front Brake,,,,,,,"Contains: 2-40mm Pistons, with Seals",available,79,64.41,/parts/mopar-piston-disc-brake~5093295aa.html
3,5093296AA,BOOT KIT Disc brake,,,,,,,,available,28.15,22.66,/parts/mopar-seal-disc-brake~5093296aa.html
4,5136153AA,CALIPER Disc Brake,,,,,,,Left Less Pads,discontinued,,,/parts/mopar-caliper-disc-brake~5136153aa.html
5,6507587AA,SCREW Cap,,,,4,1,,,discontinued,,,/parts/mopar-screw-cap~6507587aa.html
6,5093297AA,BLEEDER SCREW Brake,,,,,,,,available,8.3,7.02,/parts/mopar-screw-brake~5093297aa.html
7,5093302AA,PIN KIT Disc Brake,,,,,,,,available,30.25,23.88,/parts/mopar-pin-disc-brake~5093302aa.html
8,5093303AA,CLIP Brake Caliper,,,,,,,,available,18.45,13.86,/parts/mopar-retainer-brake-caliper~5093303aa.html
9,5181463AA,ROTOR Brake,,,,,,,Left [BR1],discontinued,,,
10,4763182AB,BEARING,,,,,,,,discontinued,,,/parts/mopar-bearing~4763182ab.html
11,6033702,STUD Hub,,,,6,1,,,discontinued,,,/parts/mopar-stud-hub~6033702.html
12,5290695AA,SEAL,,,,,,,,available,20.7,16.43,/parts/mopar-seal~5290695aa.html
13,4848166,GASKET Front Wheel Bearing,,,,,,,,discontinued,,,/parts/mopar-gasket-front-wheel-bearing~4848166.html
14,5290031AC,KNUCKLE Front,Left,,,,,68272307AA,,available,1665,1087.9,/parts/mopar-knuckle-front~5290031ac.html
15,6502136,BOLT Hex Flange Head M10x1.50x55,,,,4,1,,,available,14.25,9.96,/parts/mopar-bolt-hex-flange-head~6502136.html
16,4854411AA,RING Tone,,,,2,1,,,discontinued,,,/parts/mopar-guide-tone~4854411aa.html
17,5290042AA,BOLT,,,,2,1,,,discontinued,,,/parts/mopar-bolt~5290042aa.html
18,6502294,NUT Hex Flange M22x1.25,,,,2,1,,,available,12.4,8.56,/parts/mopar-nut-hex-flange~6502294.html
,5290952AA,SENSOR Anti-Lock Brakes,,,,2,1,,,available,81.95,66.66,/parts/mopar-sensor-anti-lock-brakes~5290952aa.html
