ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5029529AA,ASH RECEIVER Floor Console,,,,,,5108051AA,,available,92.2,62.38,/parts/mopar-ashtray-floor-console~5029529aa.html
2,153634,SCREW Tapping .190-16X.750,,,,4,1,,,available,3.9,2.68,/parts/mopar-screw-round-washer-head-tapping~153634.html
3,5093230AA,RING,,,,,,,,discontinued,,,/parts/mopar-ring~5093230aa.html
4,1CH381U4AA,BEZEL Console Shifter,,,,,,,[XU],discontinued,,,
4,XP181X9AA,BEZEL Console Shifter,,,,,,,,discontinued,,,/parts/mopar-bezel-console-shifter~xp181x9aa.html
5,4685370,KNOB AND ELEMENT Cigar Lighter,,,,,,,,available,39.35,27.32,/parts/mopar-lighter-cigar-lighter~4685370.html
6,4793555,RING Cigar Lighter Mounting,,,,,,,,available,4.65,3.15,/parts/mopar-ring-cigar-lighter-mounting~4793555.html
7,4793551,BASE Cigar Lighter,,,,,,,,available,37.4,25.98,/parts/mopar-lighter-cigar-lighter~4793551.html
9,4865875AA,SWITCH Passenger Airbag Disarm,,,,,,,,discontinued,,,/parts/mopar-switch-passenger-airbag-disarm~4865875aa.html
10,5037319AA,BOOT Gearshift,,,,,,5038653AA,,discontinued,,,/parts/mopar-boot-gearshift~5037319aa.html
11,6032058,NUT Snap In,,,,2,1,,,discontinued,,,/parts/mopar-nut-snap-in~6032058.html
12,4278662,SPACER,,,,4,1,,,available,4.15,2.85,/parts/mopar-spacer~4278662.html
13,124934,NUT Hex Jam .50-20,,,,,,,,available,8.75,6.06,/parts/mopar-nut-hex-jam~124934.html
14,4865688AA,SILENCER Floor Pan Front Tunnel,,,,,,,,discontinued,,,/parts/mopar-pad-floor-pan-front-tunnel~4865688aa.html
18,5030500AB,WIRING Console,,,,,,,,discontinued,,,/parts/mopar-wiring-console~5030500ab.html
25,XN89DX9AC,LID Center Console Storage,,,,,,,,available,241,195.75,/parts/mopar-lid-center-console-storage~xn89dx9ac.html
26,XN88DX9AB,BASE Floor Console,,,,,,,,available,1015,859.93,/parts/mopar-base-floor-console~xn88dx9ab.html
27,5114426AA,HINGE Floor Console Lid,,,,,,,,available,65.35,57.09,/parts/mopar-hinge-int-floor-console-lid~5114426aa.html
28,PR29DX9AB,LATCH Armrest Lid,,,,,,,,available,10.1,7.93,/parts/mopar-actuator-armrest-lid~pr29dx9ab.html
29,5093220AA,MAT Floor Console,,,,,,,,available,10.9,7.57,/parts/mopar-mat-floor-console~5093220aa.html
30,XP191BNAA,BOOT Gearshift,,,,,,,[XB],available,137.69,108.21,/parts/mopar-boot-gearshift~xp191bnaa.html
30,XP191D5AA,BOOT Gearshift,,,,,,,[X5],discontinued,,,/parts/mopar-boot-gearshift~xp191d5aa.html
30,XP191U4AA,BOOT Gearshift,,,,,,,[XU],discontinued,,,/parts/mopar-boot-gearshift~xp191u4aa.html
30,XP191XRAA,BOOT Gearshift,,,,,,,[XR],discontinued,,,/parts/mopar-boot-gearshift~xp191xraa.html
,5093227AA,HOUSING Switch,,,,,,,,discontinued,,,/parts/mopar-housing-switch~5093227aa.html
,5093298AA,SCREW Cap,,,,,,,,discontinued,,,/parts/mopar-screw-cap~5093298aa.html
,5093434AA,SCREW Console,,,,,,,,available,0.7,0.41,/parts/mopar-screw-console~5093434aa.html
