ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4626520,BOLT Transmission Case,,,,25,1,,,discontinued,,,/parts/mopar-bolt-transmission-case~4626520.html
2,5139857AA,SEAL Input Shaft,,,,,,,,discontinued,,,/parts/mopar-seal-input-shaft~5139857aa.html
3,68028428AA,CASE Transmission,,,,,,,,available,319,273.53,/parts/mopar-case-transmission~68028428aa.html
4,4626514,DOWEL Transmission Case,,,,2,1,,,available,6.5,4.49,/parts/mopar-dowel-pin-transmission-case~4626514.html
5,68028429AA,SLEEVE Selector Shaft,,,,,,68091865AA,,available,24.2,16.72,/parts/mopar-sleeve-selector-shaft~68028429aa.html
6,4626567,MAGNET Transmission,,,,2,,,,discontinued,,,
7,4626527,BOLT Shift Guide Plate,,,,2,1,,,available,5.4,3.67,/parts/mopar-bolt-shift-guide-plate~4626527.html
8,68029154AA,PLATE Transmission Shifter,,,,,,,,available,143,96.19,/parts/mopar-plate-transmission-shifter~68029154aa.html
9,68027838AA,BOLT,,,,8,1,,,available,3.3,2.27,/parts/mopar-bolt~68027838aa.html
10,4626591,PLUG Transmission Drain,,,,2,1,,,available,4.9,3.32,/parts/mopar-plug-transmission-drain~4626591.html
11,68028427AA,EXTENSION HOUSING Transmission,,,,,,68399653AA,,available,954,652.08,/parts/mopar-housing-transmission~68028427aa.html
12,4626461,STUD,,,,2,1,,,available,9.95,6.93,/parts/mopar-stud~4626461.html
13,4626568,NUT Transmission Case,,,,2,1,,,available,15.7,10.89,/parts/mopar-nut-transmission-case~4626568.html
14,5166053AA,SEAL Main Shaft,,,,,,,,available,42.4,29.42,/parts/mopar-seal-main-shaft~5166053aa.html
15,4626520,BOLT Transmission Case,,,,25,1,,,discontinued,,,/parts/mopar-bolt-transmission-case~4626520.html
16,68032079AA,CLIP,,,,,,,,available,3.6,3.15,/parts/mopar-clip~68032079aa.html
