ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5093244AA,HOUSING Air Inlet,,,,,,,,discontinued,,,/parts/mopar-housing-air-inlet~5093244aa.html
2,5093237AB,HOUSING A/C And Heater,,,,,,5093237AC,,available,474,386.9,/parts/mopar-housing-a-c-and-heater~5093237ab.html
3,6504909AA,STUD,,,,,,,,available,5.4,3.67,/parts/mopar-stud~6504909aa.html
4,5093248AB,MOTOR Blower with Wheel,,,,,,,,discontinued,,,/parts/mopar-motor-blower-with-wheel~5093248ab.html
5,5014212AA,RESISTOR Blower Motor,,,,,,,,available,238,106.68,/parts/mopar-resistor-blower-motor~5014212aa.html
6,4885206AB,ACTUATOR A/C and Heater,,,,,,,,available,202,136.13,/parts/mopar-actuator-a-c-and-heater~4885206ab.html
7,5093247AA,CORE Heater,,,,,,5093247AB,,available,206,162.43,/parts/mopar-core-heater~5093247aa.html
8,5093246AA,EVAPORATOR Air Conditioning,,,,,,,,available,417,337.85,/parts/mopar-evaporato-air-conditioning~5093246aa.html
9,5093245AA,SEAL KIT A/C And Heater Unit,,,,,,5093245AC,,available,53.25,37.22,/parts/mopar-seal-pkg-a-c-and-heater-unit~5093245aa.html
10,5030504AA,WIRING A/C and HEATER,,,,,,,,available,215,152.09,/parts/mopar-wiring-a-c-and-heater~5030504aa.html
13,4720533,SCREW,,,,,,,,available,6,4.08,/parts/mopar-screw~4720533.html
,2837680,CLAMP Blower Motor Wheel,,,,,,,,available,2.35,1.31,/parts/mopar-clamp-blower-motor-wheel~2837680.html
,5104821AA,DRAIN KIT A/C and Heater,,,,,,,,available,37.8,31.4,/parts/mopar-drain-a-c-and-heater~5104821aa.html
,5096978AA,NUT Hex M6,,,,3,1,6104725AA,,available,6.15,4.25,/parts/mopar-nut-hex~5096978aa.html
