ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5030093AE,PAN Trunk Primed,,,29,,,5030093AF,,available,3200,2712,/parts/mopar-pan-trunk-primed~5030093ae.html
6,4708057,PLUG Trunk Seal,,,,2,1,,,available,47.85,33.38,/parts/mopar-plug-trunk-seal~4708057.html
9,34201358,NUT AND WASHER Hex Nut-Sealing Washer M6 x 1.00,,,,4,1,,,available,13.9,9.67,/parts/mopar-nut-hex-nut-sealing-washer~34201358.html
11,6102132AA,SCREW Hex Head M6x1x20,,,,7,1,,,available,5.5,3.73,/parts/mopar-screw-hex-head~6102132aa.html
12,4865772AB,BRACKET Trunk Pan To Frame C/Member,,,,,,,,discontinued,,,/parts/mopar-bracket-trunk-pan-to-frame-c-member~4865772ab.html
14,6102132AA,SCREW Hex Head M6x1x20,,,,7,1,,,available,5.5,3.73,/parts/mopar-screw-hex-head~6102132aa.html
16,6102132AA,SCREW Hex Head M6x1x20,,,,7,1,,,available,5.5,3.73,/parts/mopar-screw-hex-head~6102132aa.html
19,5029239AA,PANEL Fuel Access Trunk,,,,,,,,available,23.05,19.69,/parts/mopar-panel-fuel-access~5029239aa.html
21,6101956,NUT U M6x1.00 Battery Cover to Trunk Pan,,,,2,1,6510185AA,,available,1.85,1.28,/parts/mopar-nut-u~6101956.html
,5029121AA,BRACKET Tail Lamp,Left,,,,,,,discontinued,,,/parts/mopar-bracket-tail-lamp~5029121aa.html
,5029519AA,ISOLATOR FOAM,,,,2,1,5029519AC,,available,62,43.16,/parts/mopar-isolator-foam~5029519aa.html
,5030415AA,SEAL Quarter Panel to Trunkpan,,,,2,1,,,discontinued,,,/parts/mopar-seal-quarter-panel-to-trunkpan~5030415aa.html
