ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5029072AB,PANEL Bulkhead Trim,,,,,,,,available,1435,1182.5,/parts/mopar-panel-bulkhead-trim~5029072ab.html
3,153754,SCREW .190-16x1.00,,,,2,1,,,discontinued,,,/parts/mopar-screw~153754.html
4,XK37DX9AA,COVER Bulkhead,Left,,,,,,,available,27.1,22.66,/parts/mopar-cover-bulkhead~xk37dx9aa.html
5,6102103AA,SCREW AND WASHER Hex Head M6x1x20,,,,4,1,,,discontinued,,,/parts/mopar-screw-hex-head~6102103aa.html
6,6101722,SCREW AND WASHER Hex Head M8x1.25x60,,,,4,1,,,available,6.8,4.72,/parts/mopar-bolt-hex-head~6101722.html
7,6031869,NUT Push .19,,,,2,1,,,discontinued,,,/parts/mopar-grommet-push~6031869.html
8,6032058,NUT Snap In,,,,2,1,,,discontinued,,,/parts/mopar-nut-snap-in~6032058.html
9,152493,NUT,,,,9,1,,,available,3.55,2.45,/parts/mopar-nut~152493.html
10,1BH89DX9AC,PANEL Bulkhead Trim,,,,,,,,discontinued,,,/parts/mopar-panel-bulkhead-trim~1bh89dx9ac.html
11,TS04DX9AB,PANEL Bulkhead Trim,,,,,,,,available,3800,3135,/parts/mopar-panel-bulkhead-trim~ts04dx9ab.html
12,TS39DX9AB,SPORT HOOP Bulkhead,Left,,,,,,,discontinued,,,/parts/mopar-hoop-bulkhead~ts39dx9ab.html
,5096016AB,PANEL Bulkhead Support Panel Only,,,,,,,,available,820,676.5,/parts/mopar-panel-bulkhead-support~5096016ab.html
