ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5139857AA,SEAL Input Shaft,,,,,,,,discontinued,,,/parts/mopar-seal-input-shaft~5139857aa.html
2,68029149AA,SHIM,,,,,,68292428AA,[0.56 mm],available,94.95,63.96,/parts/mopar-shim-bearing-retainer~68029149aa.html
2,68029150AA,SHIM,,,,,,68292428AA,[0.66 mm],available,94.95,63.96,/parts/mopar-shim-bearing-retainer~68029150aa.html
2,68029151AA,SHIM,,,,,,68292428AA,[0.76 mm],available,94.95,63.96,/parts/mopar-shim-bearing-retainer~68029151aa.html
2,68029152AA,SHIM,,,,,,68292428AA,[0.86 mm],available,94.95,63.96,/parts/mopar-shim-bearing-retainer~68029152aa.html
2,68045234AA,SHIM,,,,,,68292428AA,[0.8128 mm],available,94.95,63.96,/parts/mopar-shim-bearing-retainer~68045234aa.html
2,68045235AA,SHIM,,,,,,68292428AA,[0.8890 mm],available,94.95,63.96,/parts/mopar-shim-bearing-retainer~68045235aa.html
2,68045236AA,SHIM,,,,,,68292428AA,[0.7112 mm],available,94.95,63.96,/parts/mopar-shim-bearing-retainer~68045236aa.html
2,68045237AA,SHIM,,,,,,68292428AA,[0.3180 mm],available,94.95,63.96,/parts/mopar-shim-bearing-retainer~68045237aa.html
2,68045238AA,SHIM,,,,,,68292428AA,[0.5080 mm],available,94.95,63.96,/parts/mopar-shim-bearing-retainer~68045238aa.html
2,68045239AA,SHIM,,,,,,68292428AA,[0.6096 mm],available,94.95,63.96,/parts/mopar-shim-bearing-retainer~68045239aa.html
3,68045323AA,BEARING KIT Input Shaft,,,,,,,,available,236,156.38,/parts/mopar-bearing-input-shaft~68045323aa.html
4,68028951AA,SHAFT Input,,,,,,,,available,328,264.26,/parts/mopar-shaft-input~68028951aa.html
5,4626468,BEARING,,,,,,,,available,43.1,29.92,/parts/mopar-bearing-input-shaft~4626468.html
6,4626544,CUP,,,,,,,,available,31.6,15.31,/parts/mopar-cup-input-shaft~4626544.html
