ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,6102404AA,BOLT Hex Head,,,,2,1,,,available,7.7,6.35,/parts/mopar-screw-hex-head~6102404aa.html
2,6506890AA,WASHER Flat,,,,2,1,,,available,2.85,2.45,/parts/mopar-washer-flat~6506890aa.html
3,5037260AA,BUSHING Axle Mount,,,,2,1,,,available,34.65,28.01,/parts/mopar-bushing-axle-mount~5037260aa.html
4,6100520,NUT Hex Flange Head Locking M14x2,,,,2,1,,,available,13.2,9.15,/parts/mopar-nut-hex-flange-head-locking~6100520.html
5,6504065,NUT AND RETAINER Hex Flange Locking M12x1.75,,,,2,1,,,discontinued,,,/parts/mopar-nut-hex-flange-locking~6504065.html
6,5038307AE,DIFFERENTIAL Rear Axle,,,,,,,,discontinued,,,/parts/mopar-differntl-rear-axle~5038307ae.html
7,5037261AA,BUSHING Axle Mount,,,,4,1,,,available,46.45,38.97,/parts/mopar-bushing-axle-mount~5037261aa.html
8,4626738AB,BUSHING Axle Mount,,,,,,,,discontinued,,,/parts/mopar-bushing-axle-mount~4626738ab.html
9,6502046,BOLT Suspension Upper Arm,,,,2,1,,,available,7.7,6.35,/parts/mopar-bolt-suspension-upper-arm~6502046.html
10,4874469,LUBRICANT Gear Requires Limited-Slip additive,,,,,,68218657AB,[32oz] Minimum Ship Quantity 12,available,21.41,18.87,/parts/mopar-lubricant-gear~4874469.html
10,68003055AA,LUBRICANT Gear Requires Limited-Slip additive,,,,,,68218658AA,Mopar SAE 75W-140 Synthetic Gear and Axle Lube 16 Gallon Keg,discontinued,,,/parts/mopar-lubricant-gear~68003055aa.html
11,4318060AB,ADDITIVE Axle Limited Slip additive,,,,,,4318060AD,,available,11.1,7.75,/parts/mopar-lubricant-axle~4318060ab.html
