ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5029145AC,HANDLE Front Door Exterior,Left,,,,,,,discontinued,,,/parts/mopar-handle-front-door-exterior~5029145ac.html
2,4865727AC,LATCH Front Door,Left,,,,,,,available,495,408.34,/parts/mopar-latch-front-door~4865727ac.html
3,4865610AE,REGULATOR Front Door Window,Right,,,,,4865610AI,,available,1180,773.3,/parts/mopar-regulator-front-door-window~4865610ae.html
4,4865587AA,WATERSHIELD Front Door,Left,,,,,,,available,115,94.75,/parts/mopar-shield-front-door~4865587aa.html
5,6101694,NUT M6x1.00,,,,5,1,,,available,9.35,6.52,/parts/mopar-nut~6101694.html
6,6100567,SCREW AND WASHER Hex Head M6x1x25,,,,2,1,,,available,9.3,6.47,/parts/mopar-screw-hex-head~6100567.html
7,6102126AA,NUT AND WASHER Hex M6x1.0,,,,2,1,,,available,10.65,7.4,/parts/mopar-nut-hex~6102126aa.html
8,6101650,SCREW AND WASHER M5X.80X20.00,,,,2,1,,,discontinued,,,/parts/mopar-screw~6101650.html
9,5029626AA,REINFORCEMENT Window Regulator,,,,,,,,available,0.8,0.52,/parts/mopar-reinfmnt-window-regulator~5029626aa.html
10,4658734AC,STABILIZER Door Glass Belt,,,,,,,,discontinued,,,/parts/mopar-stable-door-glass-belt~4658734ac.html
11,4396294,STABILIZER Door Glass,,,,,,,,discontinued,,,/parts/mopar-bracket-door-glass~4396294.html
12,4865581AF,FLAG Door,Left,,,,,,,discontinued,,,/parts/mopar-panel-door~4865581af.html
13,5029069AB,PANEL Access,Left,,,,,,,discontinued,,,/parts/mopar-panel-access~5029069ab.html
14,6501373,BOLT Hex Head M6x1.00x20.00,,,,3,1,,,available,9,6.23,/parts/mopar-screw-hex-head~6501373.html
15,TR32HGRAB,COVER Handle,,,,,,TR32BWAAB,Right [PGR],available,87,73.6,/parts/mopar-cover-handle~tr32hgrab.html
15,TR32HYDAB,COVER Handle,,,,,,TR32BWAAB,Right [PYD],available,87,73.6,/parts/mopar-cover-handle~tr32hydab.html
15,TR32LRNAB,COVER Handle,,,,,,,Right [PRN],available,60.6,52.95,/parts/mopar-cover-handle~tr32lrnab.html
15,TR32MX3AB,COVER Handle,,,,,,TR32BWAAB,Right [PX3],available,87,73.41,/parts/mopar-cover-handle~tr32mx3ab.html
15,TR32VA9AB,COVER Handle,,,,,,TR32BWAAB,Right [PA9],available,87,73.6,/parts/mopar-cover-handle~tr32va9ab.html
15,TR32WYRAB,COVER Handle,,,,,,TR32BWAAB,Right [PYR],available,87,73.6,/parts/mopar-cover-handle~tr32wyrab.html
15,TR32YBWAB,COVER Handle,,,,,,TR32BWAAB,Right [PBW],available,87,73.6,/parts/mopar-cover-handle~tr32ybwab.html
15,TR32ZDRAB,COVER Handle,,,,,,TR32BWAAB,Right [PDR],available,87,73.6,/parts/mopar-cover-handle~tr32zdrab.html
15,TR33BWAAB,COVER Handle,,,,,,,Left [PWA],available,87,73.6,/parts/mopar-cover-handle~tr33bwaab.html
15,TR33HGRAB,COVER Handle,,,,,,,Left [PGR],discontinued,,,/parts/mopar-cover-handle~tr33hgrab.html
15,TR33HYDAB,COVER Handle,,,,,,TR33WS2AB,Left [PYD],available,79.85,65.65,/parts/mopar-cover-handle~tr33hydab.html
15,TR33LRNAB,COVER Handle,,,,,,TR33WS2AB,Left [PRN],available,79.85,65.65,/parts/mopar-cover-handle~tr33lrnab.html
15,TR33MX3AB,COVER Handle,,,,,,TR33WS2AB,Left [PX3],available,79.85,65.65,/parts/mopar-cover-handle~tr33mx3ab.html
15,TR33VA9AB,COVER Handle,,,,,,TR33WS2AB,Left [PA9],available,79.85,65.65,/parts/mopar-cover-handle~tr33va9ab.html
15,TR33WYRAB,COVER Handle,,,,,,TR33WS2AB,Left [PYR],available,79.85,65.65,/parts/mopar-cover-handle~tr33wyrab.html
15,TR33YBWAB,COVER Handle,,,,,,TR33WS2AB,Left [PBW],available,79.85,65.65,/parts/mopar-cover-handle~tr33ybwab.html
15,TR33ZDRAB,COVER Handle,,,,,,TR33WS2AB,Left [PDR],available,79.85,65.65,/parts/mopar-cover-handle~tr33zdrab.html
,34202688,CLIP Latch&Line,,,,,,,,discontinued,,,/parts/mopar-clip-latch-line~34202688.html
,4643066,STRIKER Door Latch Door Latch,,,,,,,,available,18.1,15.72,/parts/mopar-striker-door-latch~4643066.html
