ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4626487,SNAP RING,,,,,,,,available,11.8,8.16,/parts/mopar-ring~4626487.html
2,68028947AA,BLOCKER RING 3rd To 4th,,,,2,1,,,discontinued,,,/parts/mopar-ring-3rd-to-4th~68028947aa.html
3,68028950AA,SYNCHRONIZER,,,,2,1,68028950AB,,available,630,412.5,/parts/mopar-synch~68028950aa.html
4,68028947AA,BLOCKER RING 3rd To 4th,,,,,,,,discontinued,,,/parts/mopar-ring-3rd-to-4th~68028947aa.html
5,68029144AA,SPACER Third Gear,,,,,,,,available,9.45,6.52,/parts/mopar-shim-third-gear~68029144aa.html
6,4626469,NEEDLE BEARING 2nd/3rd Gear,,,,,,,,available,39.3,27.32,/parts/mopar-bearing-2nd-3rd-gear~4626469.html
7,68028418AA,GEAR Third,,,,,,,,available,234,189,/parts/mopar-gear-third~68028418aa.html
8,68028952AA,MAINSHAFT Transmission,,,,,,,,available,234,189,/parts/mopar-shaft-transmission~68028952aa.html
9,4626469,NEEDLE BEARING 2nd/3rd Gear,,,,,,,,available,39.3,27.32,/parts/mopar-bearing-2nd-3rd-gear~4626469.html
10,68028421AA,GEAR Second,,,,,,,,available,192,154.13,/parts/mopar-gear-second~68028421aa.html
11,68027839AA,SPACER 2ND Gear Bearing,,,,,,,,available,9.15,6.29,/parts/mopar-spacer-2nd-gear-bearing~68027839aa.html
12,68028592AA,BLOCKER RING 1st To 2nd,,,,2,1,,,available,351,231.92,/parts/mopar-ring-1st-to-2nd~68028592aa.html
13,68028950AA,SYNCHRONIZER,,,,2,1,68028950AB,,available,630,412.5,/parts/mopar-synch~68028950aa.html
14,68028592AA,BLOCKER RING 1st To 2nd,,,,2,1,,,available,351,231.92,/parts/mopar-ring-1st-to-2nd~68028592aa.html
15,68029158AA,SNAP RING,,,,,,,,available,55.25,38.5,/parts/mopar-ring~68029158aa.html
16,68029159AA,WASHER,,,,2,1,,,available,124,82.07,/parts/mopar-washer~68029159aa.html
17,4626488,NEEDLE BEARING First Gear,,,,,,,,available,50.4,35.01,/parts/mopar-bearing-first-gear~4626488.html
18,68028417AA,GEAR First,,,,,,,,available,182,119.25,/parts/mopar-gear-first~68028417aa.html
19,68045324AA,BEARING KIT Mainshaft Mid,,,,,,,,available,64.75,54,/parts/mopar-bearing-mainshaft-mid~68045324aa.html
20,68028423AA,GEAR Sixth,,,,,,,,available,75.7,63.84,/parts/mopar-gear-sixth~68028423aa.html
21,68083408AA,GEAR Fifth,,,,,,,,available,186,120.38,/parts/mopar-gear-fifth~68083408aa.html
22,68029161AA,SNAP RING,,,,,,,,available,41.75,28.95,/parts/mopar-ring~68029161aa.html
23,68029160AA,WASHER,,,,2,1,,,available,27.1,18.76,/parts/mopar-washer~68029160aa.html
24,68029147AA,RETAINER,,,,,,,,available,10.1,6.99,/parts/mopar-retainer~68029147aa.html
25,68028594AA,SYNCHRONIZER Reverse gear,,,,,,68166794AA,,available,176,118.13,/parts/mopar-synch-fifth-and-sixth~68028594aa.html
26,68028593AA,BLOCKER RING 5th To 6th,,,,3,1,68028593AB,,available,317,211.5,/parts/mopar-ring-5th-to-6th~68028593aa.html
27,68028416AA,GEAR Reverse,,,,,,,,available,210,137.25,/parts/mopar-gear-reverse~68028416aa.html
28,4626558,NEEDLE BEARING Reverse Gear,,,,,,,,available,35.8,24.81,/parts/mopar-bearing-reverse-gear~4626558.html
29,4626560,WASHER Reverse Thrust,,,,,,,,available,24.15,16.72,/parts/mopar-gear-reverse-thrust~4626560.html
30,4626586,SNAP RING Reverse Inhibitor,,,,,,,,available,4.1,2.8,/parts/mopar-retainer-reverse-inhibitor~4626586.html
31,4626562,WASHER Mainshaft,,,,2,1,,,available,30.45,21.09,/parts/mopar-washer-mainshaft~4626562.html
32,4626563,ROLLER BEARING Main Shaft,,,,,,,,available,110,72.62,/parts/mopar-bearing-main-shaft~4626563.html
33,4626562,WASHER Mainshaft,,,,2,1,,,available,30.45,21.09,/parts/mopar-washer-mainshaft~4626562.html
34,4626586,SNAP RING Reverse Inhibitor,,,,,,,,available,4.1,2.8,/parts/mopar-retainer-reverse-inhibitor~4626586.html
