ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4865678AE,GEAR Rack and Pinion,,,,,,4865678AH,,discontinued,,,/parts/mopar-gear-rack-and-pinion~4865678ae.html
2,5181534AA,END Tie Rod,,,,2,1,,,discontinued,,,/parts/mopar-tie-rod-tie-rod~5181534aa.html
3,6506557AA,NUT AND WASHER Hex Lock M14x1.50,,,,2,1,,,available,6.7,4.6,/parts/mopar-nut-hex-lock~6506557aa.html
4,120123,PIN Cotter,,,,2,1,,,available,8.1,5.65,/parts/mopar-pin-cotter~120123.html
6,6034710,WASHER Flat,,,,2,1,,,available,4.5,3.79,/parts/mopar-washer-flat~6034710.html
7,4642116,ISOLATOR Steering Gear,,,,4,1,,,discontinued,,,/parts/mopar-insulator-steering-gear~4642116.html
8,4708035,O RING Steering Gear,,,,2,1,4708035AB,,available,4.5,2.62,/parts/mopar-o-ring-steering-gear~4708035.html
9,4117796,NUT Pivot Arm,,,,,,,,discontinued,,,/parts/mopar-nut-pivot-arm~4117796.html
10,4708475,SHIM Steering Gear 0.5mm,,,,,,,,available,9.3,6.6,/parts/mopar-spacer-steering-gear~4708475.html
11,4708070,SHIM Steering Gear 1.0mm,,,,2,1,,,discontinued,,,/parts/mopar-spacer-steering-gear~4708070.html
12,4708068,SHIM Steering Gear 1.5mm,,,,2,1,,,discontinued,,,/parts/mopar-spacer-steering-gear~4708068.html
13,4708069,SHIM Steering Gear 3.0mm,,,,6,1,,,discontinued,,,/parts/mopar-spacer-steering-gear~4708069.html
