ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5290113AD,HOSE AND TUBE ASSEMBLY Brake Rear,Left,,,,,5290113AF,,available,60.4,42,/parts/mopar-tube-brake~5290113ad.html
2,6105032AA,SCREW Hex Flange Head M5X0.8X20.00,,,,2,1,,,available,3.5,2.39,/parts/mopar-screw-hex-flange-head~6105032aa.html
3,6502114,GASKET Brake Hose To Caliper,,,,8,1,,,available,9.2,6.68,/parts/mopar-gasket-brake-hose-to-caliper~6502114.html
4,6510161AA,BOLT Banjo,,,,4,1,,,available,5.45,3.79,/parts/mopar-bolt-banjo~6510161aa.html
5,68170690AB,HOSE AND TUBE ASSEMBLY Brake Right Rear,,,,,,,,discontinued,,,
6,68170692AB,HOSE AND TUBE ASSEMBLY Brake Left Rear,,,,,,,,discontinued,,,
7,4683449AC,CLIP Tube 2 Way,,,,2,1,,,available,1.35,0.93,/parts/mopar-clip-tube~4683449ac.html
8,6105032AA,SCREW Hex Flange Head M5X0.8X20.00,,,,2,1,,,available,3.5,2.39,/parts/mopar-screw-hex-flange-head~6105032aa.html
9,5181856AB,TUBE Brake,,,,,,5181856AD,Right Main Brake Tube,available,559,381.9,/parts/mopar-line-brake~5181856ab.html
10,5085043AA,CLIP Fuel Bundle,,,,6,1,,,available,12.75,8.84,/parts/mopar-clip-fuel-bundle~5085043aa.html
11,5290248AA,SENSOR Anti-Lock Brakes,,,,2,1,5290248AB,,available,163,108.73,/parts/mopar-sensor-anti-lock-brakes~5290248aa.html
12,6503929,SCREW AND WASHER Coned Pilot M6x1x30,,,,2,1,,,available,7.05,4.78,/parts/mopar-screw-coned-pilot~6503929.html
