ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5038658AA,BRACKET Engine Mount,,,,,,,,available,136,105.47,/parts/mopar-bracket-engine-mount~5038658aa.html
2,6101848,BOLT AND WASHER Hex Head M10x1.50x30.00,,,,2,1,,,available,5.5,3.79,/parts/mopar-bolt-hex-head~6101848.html
3,5091299AA,STRAP Ground,,,,,,,,available,18.25,12.64,/parts/mopar-strap-ground~5091299aa.html
4,6509462AA,STUD Double Ended M10X1.50/M8X1.25X54.00,,,,,,,,available,4.3,2.97,/parts/mopar-stud-double-ended~6509462aa.html
5,5038680AA,HEAT SHIELD Engine Mount,,,,,,,,available,40.2,33.61,/parts/mopar-shield-engine-mount~5038680aa.html
6,6502873,BOLT Hex Washer Head M10X1.50X16.00,,,,,,,,available,3,1.73,/parts/mopar-bolt-hex-washer-head~6502873.html
7,6101831,NUT Hex Flange M8x1.25,,,,,,,,available,9.35,6.52,/parts/mopar-nut-hex-flange~6101831.html
8,6502979,NUT AND WASHER Hex M10x1.5,,,,,,,,available,10.8,7.51,/parts/mopar-nut-hex~6502979.html
9,6101848,BOLT AND WASHER Hex Head M10x1.50x30.00,,,,2,1,,,available,5.5,3.79,/parts/mopar-bolt-hex-head~6101848.html
10,5038667AA,ISOLATOR Engine Mount,,,,,,5038667AB,,available,174,134.23,/parts/mopar-isolator-engine-mount~5038667aa.html
