ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
2,6505628AA,SCREW AND WASHER Tapping Hex Head M4.2x1.41x20,,,,10,1,,,available,11.3,7.86,/parts/mopar-screw-tapping-hex-head~6505628aa.html
3,5029431AC,INSULATION Foil Backed Seal,Left,,,,,,,available,219,154.45,/parts/mopar-isolator-foil-backed-seal~5029431ac.html
4,5290325AA,SHIELD Exhaust Sill,,,,,,,Left Quarter Panel To Exhaust,available,47.55,40.74,/parts/mopar-shield-exhaust~5290325aa.html
5,5029319AC,SHIELD Heat,Left,,,,,5029319AD,,available,72.35,59.61,/parts/mopar-shield-heat~5029319ac.html
6,6505628AA,SCREW AND WASHER Tapping Hex Head M4.2x1.41x20,,,,10,1,,,available,11.3,7.86,/parts/mopar-screw-tapping-hex-head~6505628aa.html
7,6034645,RIVET .25 Grip-.06-.25,,,,2,1,,,available,12.7,8.8,/parts/mopar-retainer~6034645.html
8,5290328AC,SHIELD Heat,,,,2,1,,,available,6.15,5.13,/parts/mopar-shield-heat~5290328ac.html
9,5290161AD,SHIELD Exhaust Sill,,,,,,,Left Quarter Panel To Frame,available,366,295.54,/parts/mopar-shield-exhaust~5290161ad.html
10,5290149AC,SHIELD Heat,,,,,,,Left Torque box,available,38.8,31.75,/parts/mopar-shield-heat~5290149ac.html
11,6034944,RIVET Blind .187x.54,,,,4,1,,,available,7.6,3.97,/parts/mopar-rivet-blind~6034944.html
