ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,1TZ80RXFAA,WHEEL Aluminum,,,,2,1,1TZ80RXFAB,Front [WPK],available,2075,1359.55,/parts/mopar-wheel-aluminum~1tz80rxfaa.html
1,1TZ83JXYAA,WHEEL Aluminum,,,,2,1,1TZ83JXYAB,Rear [WP9],available,2200,1442.05,/parts/mopar-wheel-aluminum~1tz83jxyaa.html
1,1TZ80LSTAA,WHEEL Aluminum,,,,2,1,1TZ80LSTAB,Front [WC2],available,2185,1425.55,/parts/mopar-wheel-aluminum~1tz80lstaa.html
1,1TZ83LSTAA,WHEEL Aluminum,,,,2,1,1TZ83LSTAB,Rear [WC2],available,2135,1387.05,/parts/mopar-wheel-aluminum~1tz83lstaa.html
1,1TZ83RXFAA,WHEEL Aluminum,,,,2,1,1TZ83RXFAB,Rear [WPK],available,1845,1216.55,/parts/mopar-wheel-aluminum~1tz83rxfaa.html
2,1WL85JXYAA,WHEEL Aluminum,,,,2,1,1WL85JXYAB,Front [WP4],available,1490,974.55,/parts/mopar-wheel-aluminum~1wl85jxyaa.html
2,1WL85RXFAA,WHEEL Aluminum,,,,2,1,1WL85RXFAB,Front [WF3],available,724,622.6,/parts/mopar-wheel-aluminum~1wl85rxfaa.html
2,1WL88AAAAA,WHEEL Aluminum,,,,2,1,1WL88AAAAB,Rear [WC1],available,1055,943.47,/parts/mopar-wheel-aluminum~1wl88aaaaa.html
2,1WL88JXYAA,WHEEL Aluminum,,,,2,1,1WL88JXYAB,Rear [WP4],available,1320,865.65,/parts/mopar-wheel-aluminum~1wl88jxyaa.html
2,1WL88RXFAA,WHEEL Aluminum,,,,2,1,1WL88RXFAB,Rear [WF3],available,999,658.9,/parts/mopar-wheel-aluminum~1wl88rxfaa.html
3,1WR18RXFAA,WHEEL Aluminum,,,,2,1,,Rear [WPA],discontinued,,,/parts/mopar-wheel-aluminum~1wr18rxfaa.html
3,1WR19JXYAA,WHEEL Aluminum,,,,2,1,,Front [WC4],discontinued,,,/parts/mopar-wheel-aluminum~1wr19jxyaa.html
3,1WR19RXFAA,WHEEL Aluminum,,,,2,1,,Front [WPA],discontinued,,,/parts/mopar-wheel-aluminum~1wr19rxfaa.html
4,6036747AA,NUT Wheel,,,,24,1,,,available,16.45,8.91,/parts/mopar-nut-wheel~6036747aa.html
