ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,68110793AE,DOOR Fuel Fill,,,,,,5YW75SZ6AB,,available,1255,846.37,/parts/mopar-door-fuel-fill~68110793ae.html
2,6102244AA,NUT,,,,4,1,,,available,3.9,2.68,/parts/mopar-nut~6102244aa.html
3,68096344AB,CUP Fuel Door Mounting,,,,,,68096344AD,,available,156,104.34,/parts/mopar-cup-fuel-door-mounting~68096344ab.html
4,68104859AE,LATCH Fuel Door,,,,,,,,available,90.85,61.31,/parts/mopar-latch-fuel-door~68104859ae.html
5,6503992,SCREW AND WASHER Hex Head M6x1x30,,,,2,1,,,available,8.9,6.17,/parts/mopar-screw-hex-head~6503992.html
6,68144494AC,BRACKET Roof To Body,,,,2,1,68144494AE,,available,34.6,24.12,/parts/mopar-bracket-roof-to-body~68144494ac.html
7,68195691AC,PANEL Quarter,Left,,,,,68195691AE,,available,5035,3412.6,/parts/mopar-panel-quarter~68195691ac.html
8,68163967AC,BRACKET Fascia,Left,,,,,68163967AD,,available,22.75,10.9,/parts/mopar-bracket-fascia~68163967ac.html
9,6035201,RIVET,,,,10,1,,,available,12.2,8.45,/parts/mopar-rivet~6035201.html
11,68138277AB,SHIELD Splash,Left,,,,,68138277AG,,available,118,79.47,/parts/mopar-shield-splash~68138277ab.html
12,6505049AA,NUT M5,,,,5,1,,,available,8.8,6.12,/parts/mopar-nut~6505049aa.html
13,6508387AA,SCREW Pan Head M6X1.00X22.00,,,,4,1,6508611AA,,available,4.65,3.2,/parts/mopar-screw-pan-head~6508387aa.html
14,5029443AC,SEAL B-Pillar,,,,,,,,available,23.85,18.87,/parts/mopar-seal-b-pillar~5029443ac.html
15,6508387AA,SCREW Pan Head M6X1.00X22.00,,,,28,1,6508611AA,,available,4.65,3.2,/parts/mopar-screw-pan-head~6508387aa.html
16,5029175AD,SEAL Quarter Panel,Left,,,,,,,available,22,17.42,/parts/mopar-seal-quarter-panel~5029175ad.html
17,5029607AB,SEAL Foam,,,,,,5029607AC,,available,7,5.94,/parts/mopar-seal-foam~5029607ab.html
18,68186516AC,SEAL Foam,,,,,,,,available,6.4,5.42,/parts/mopar-seal-foam~68186516ac.html
,68160493AA,BRACKET Fascia For number 8 Attachment,Left,,,,,,,available,37.85,25.16,/parts/mopar-bracket-fascia~68160493aa.html
