ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,6511374AA,SCREW AND WASHER Hex Head M8X1.25X55.00,,,,4,1,6509393AA,,available,5.25,3.67,/parts/mopar-screw-hex-head~6511374aa.html
2,6511373AA,SPACER Round,,,,4,1,,,available,12.15,8.33,/parts/mopar-spacer-round~6511373aa.html
3,5290364AC,SHIELD Heat,,,,2,1,,,available,7.8,5.13,/parts/mopar-shield-heat~5290364ac.html
4,4763667AD,ISOLATOR Exhaust Support,,,,2,1,,Hanger to spout,available,47.55,40.25,/parts/mopar-isolator-exhaust-support~4763667ad.html
5,5181827AA,PIPE AND CONVERTER Exhaust,Left,,,,,,,available,4110,3613.8,/parts/mopar-converter-exhaust~5181827aa.html
6,5290111AB,CLAMP Exhaust Manifold,,,,2,1,,,available,56.15,37.69,/parts/mopar-clamp-exhaust-manifold~5290111ab.html
7,52110201AA,CLAMP Exhaust,,,,,,,,available,39.3,26.68,/parts/mopar-clamp-exhaust~52110201aa.html
8,5290387AH,RESONATOR Exhaust,,,,,,,,available,589,377.3,/parts/mopar-resonator-exhaust~5290387ah.html
9,5181643AB,EXHAUST TIP Tailpipe,Left,,,,,,,available,323,258.68,/parts/mopar-spout-tailpipe~5181643ab.html
10,5290154AB,SUPPORT Exhaust Isolator,,,,2,1,,,available,7.7,6.35,/parts/mopar-support-exhaust-isolator~5290154ab.html
