ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,1VT17DX9AC,HEADLINER,,,,,,1VT17DX9AD,"[-X9], [CHE]",available,1985,1344.7,/parts/mopar-headliner~1vt17dx9ac.html
1,1VT17LV5AC,HEADLINER,,,,,,1VT17LV5AD,"[-VX], [CHE]",available,2035,1378.6,/parts/mopar-headliner~1vt17lv5ac.html
4,6035201,RIVET Headliner To Roof - Push-Pin Style,,,,10,1,,,available,12.2,8.45,/parts/mopar-rivet~6035201.html
5,1UL85DX9AB,VISOR,,,,,,1UL85DX9AE,"Left [-KX]Left [-KX], [CHD]Left [-RX]Left [-RX], [CHD]Left [-X9]Left [-X9], [CHD]...View More",available,868,592.8,/parts/mopar-visor~1ul85dx9ab.html
5,1WV62DX9AB,VISOR,,,,,,1WV62DX9AE,"Right [-V5], [CHE]Right [-X9], [CHE]",available,492,328.93,/parts/mopar-visor~1wv62dx9ab.html
5,1WV62LV5AB,VISOR,,,,,,1WV62LV5AE,"Right [-VX], [CHE]",available,492,332.76,/parts/mopar-visor~1wv62lv5ab.html
5,1WV63DX9AB,VISOR,,,,,,1WV63DX9AF,"Left [-V5], [CHE]Left [-X9], [CHE]",available,474,316.66,/parts/mopar-visor~1wv63dx9ab.html
5,1WV63LV5AB,VISOR,,,,,,1WV63LV5AF,"Left [-VX], [CHE]",available,474,320.35,/parts/mopar-visor~1wv63lv5ab.html
6,4720533,SCREW,,,,,,,,available,6,4.08,/parts/mopar-screw~4720533.html
,5KX19DX9AB,BEZEL Dome Lamp Includes LED,,,,2,1,,,available,31.4,25.16,/parts/mopar-bezel-dome-lamp~5kx19dx9ab.html
